date,adj_open,adj_high,adj_low,adj_close,volume
2018-04-03,,,,13.5,0
2018-04-02,,,,13.5,0
2018-03-30,,,,13.5,0
2018-03-29,,,,13.5,0
2018-03-28,13.5,13.5,13.5,13.5,2700
2018-03-27,13.5,13.5,13.5,13.5,1000
2018-03-26,,,,13.0,0
2018-03-23,13.0,13.0,13.0,13.0,3000
2018-03-22,,,,13.8,0
2018-03-21,,,,13.8,0
2018-03-20,13.8,13.8,13.8,13.8,2
2018-03-19,13.8,13.8,13.8,13.8,100
2018-03-16,13.8,13.8,13.8,13.8,1000
2018-03-15,,,,13.8,0
2018-03-14,,,,13.8,0
2018-03-13,14.0,14.0,13.8,13.8,9400
2018-03-12,13.8,13.8,13.8,13.8,11300
2018-03-09,13.5,13.7,13.5,13.7,1900
2018-03-08,13.0,13.5,13.0,13.5,7000
2018-03-07,,,,13.0,0
2018-03-06,,,,13.0,0
2018-03-05,,,,13.0,0
2018-03-02,,,,13.0,0
2018-03-01,,,,13.0,0
2018-02-28,13.0,13.0,13.0,13.0,3000
2018-02-27,,,,13.0,0
2018-02-26,,,,13.0,0
2018-02-23,,,,13.0,0
2018-02-22,13.0,13.0,13.0,13.0,7000
2018-02-21,,,,13.0,0
2018-02-13,13.0,13.0,13.0,13.0,4700
2018-02-12,,,,13.0,0
2018-02-09,,,,13.0,0
2018-02-08,,,,13.0,0
2018-02-07,,,,13.0,0
2018-02-06,,,,13.0,0
2018-02-05,13.0,13.0,13.0,13.0,4600
2018-02-02,13.6,13.6,13.6,13.6,300
2018-02-01,,,,13.2,0
2018-01-31,13.2,13.2,13.2,13.2,100
2018-01-30,,,,13.3,0
2018-01-29,,,,13.3,0
2018-01-26,13.3,13.3,13.3,13.3,50
2018-01-25,,,,13.3,0
2018-01-22,13.3,13.3,13.3,13.3,7670
2018-01-19,,,,13.3,0
2018-01-18,,,,13.3,0
2018-01-17,13.3,13.3,13.3,13.3,25
2018-01-16,,,,13.3,0
2018-01-15,13.3,13.3,13.3,13.3,5075
2018-01-12,13.3,13.3,13.3,13.3,2100
2018-01-11,,,,13.2,0
2018-01-10,,,,13.2,0
2018-01-09,,,,13.2,0
2018-01-08,13.2,13.3,13.2,13.2,2100
2018-01-05,,,,13.7,0
2018-01-04,12.6,13.7,12.6,13.7,200
2018-01-03,,,,14.0,0
2018-01-02,,,,14.0,0
2017-12-29,13.9,14.0,13.9,14.0,300
2017-12-28,,,,13.9,0
2017-12-27,13.7,13.9,13.7,13.9,2100
2017-12-26,,,,13.0,0
2017-12-25,,,,13.0,0
2017-12-22,,,,13.0,0
2017-12-21,,,,13.0,0
