date,adj_open,adj_high,adj_low,adj_close,volume
2018-04-02,,,,261.5,0
2018-03-30,263.0,264.0,260.0,261.5,115566
2018-03-29,258.3,266.0,258.3,262.5,160161
2018-03-28,247.8,258.0,246.2,257.6,415476
2018-03-27,246.0,250.0,246.0,247.8,96114
2018-03-26,232.1,249.9,232.1,246.0,139298
2018-03-23,212.7,236.5,212.7,232.0,57907
2018-03-22,239.0,240.0,234.5,236.3,39216
2018-03-21,237.2,242.0,237.1,238.5,46618
2018-03-20,238.5,242.0,237.5,237.5,23640
2018-03-19,230.0,244.0,230.0,238.9,54590
2018-03-16,241.0,241.0,230.0,236.5,80315
2018-03-15,250.0,250.1,240.1,241.0,55780
2018-03-14,248.5,253.0,247.5,249.4,37740
2018-03-13,246.0,249.7,245.5,248.4,44852
2018-03-12,249.0,250.1,244.0,245.5,62080
2018-03-09,240.0,251.3,240.0,248.0,122257
2018-03-08,228.0,242.0,228.0,240.0,69575
2018-03-07,225.5,233.0,223.9,228.0,44580
2018-03-06,226.0,228.5,222.0,225.5,46045
2018-03-05,233.0,233.0,226.0,226.0,46197
2018-03-02,230.8,234.8,224.5,233.0,55286
2018-03-01,216.0,235.2,216.0,235.2,176125
2018-02-28,212.0,214.4,210.0,213.9,39367
2018-02-27,208.5,213.9,206.5,213.8,80101
2018-02-26,215.0,215.5,210.5,210.5,37549
2018-02-23,214.0,216.0,210.0,214.6,38200
2018-02-22,218.1,218.1,211.0,215.0,35853
2018-02-21,225.0,225.0,217.6,219.1,17720
2018-02-13,214.0,222.9,210.0,218.8,47608
2018-02-12,198.0,214.7,198.0,214.0,73046
2018-02-09,192.04,196.0,173.03,196.0,59083
2018-02-08,197.98,197.98,192.04,192.04,30023
2018-02-07,188.08,200.85,178.18,197.78,53106
2018-02-06,185.31,201.94,185.31,189.07,268582
2018-02-05,216.4,217.68,205.9,205.9,88346
2018-02-02,219.76,220.45,217.78,218.08,23515
2018-02-01,222.43,223.22,218.77,218.77,20729
2018-01-31,216.99,225.6,216.79,221.74,67295
2018-01-30,225.5,225.5,215.5,216.99,65921
2018-01-29,225.7,227.18,219.76,220.35,61690
2018-01-26,227.68,227.68,224.32,225.7,47356
2018-01-25,231.44,231.64,225.8,225.8,69818
2018-01-22,230.65,236.1,227.68,228.47,54268
2018-01-19,233.62,233.62,227.68,227.88,34024
2018-01-18,226.69,231.64,224.71,230.85,36973
2018-01-17,234.11,234.11,227.68,227.68,50700
2018-01-16,235.6,236.59,234.12,234.41,33730
2018-01-15,239.55,239.55,232.62,235.6,36914
2018-01-12,238.66,239.16,233.91,233.91,94404
2018-01-11,238.57,243.51,237.58,239.06,41820
2018-01-10,243.52,244.01,238.67,239.06,63758
2018-01-09,241.54,245.99,240.85,244.11,40328
2018-01-08,246.49,246.49,241.54,244.31,80377
2018-01-05,251.34,251.34,246.49,247.48,72201
2018-01-04,248.77,252.53,248.47,251.34,70260
2018-01-03,242.53,248.47,235.6,247.48,188099
2018-01-02,229.66,231.14,222.24,229.66,136035
2017-12-29,234.61,234.61,227.68,229.66,82782
2017-12-28,231.64,238.27,231.64,234.61,74650
2017-12-27,236.59,236.59,231.15,231.64,132551
2017-12-26,217.39,242.83,217.39,236.59,114641
2017-12-25,237.58,241.54,236.19,241.54,93503
2017-12-22,241.54,242.53,236.59,236.59,179060
2017-12-21,242.72,244.4,241.53,241.54,78602
2017-12-20,239.56,245.5,239.56,242.72,82168
2017-12-19,246.49,246.49,238.57,241.54,120132
2017-12-18,254.41,254.41,240.55,246.39,339200
2017-12-15,251.44,256.39,251.44,254.41,56705
2017-12-14,245.3,251.43,244.01,251.44,111604
2017-12-13,240.55,244.91,239.56,244.01,74209
2017-12-12,239.55,240.44,232.62,239.56,95506
2017-12-11,233.61,240.15,233.12,237.77,164673
2017-12-08,231.63,234.11,230.64,233.12,137686
2017-12-07,231.44,231.44,226.0,225.99,43653
