date,adj_open,adj_high,adj_low,adj_close,volume
2018-04-02,,,,35.0,0
2018-03-30,31.8,35.0,31.7,35.0,3100
2018-03-29,,,,31.9,0
2018-03-28,,,,31.9,0
2018-03-27,29.0,31.9,29.0,31.9,4800
2018-03-26,,,,32.2,0
2018-03-23,,,,32.2,0
2018-03-22,,,,32.2,0
2018-03-21,,,,32.2,0
2018-03-20,,,,32.2,0
2018-03-19,29.3,32.2,29.3,32.2,2400
2018-03-16,,,,32.5,0
2018-03-15,,,,32.5,0
2018-03-14,,,,32.5,0
2018-03-13,,,,32.5,0
2018-03-12,,,,32.5,0
2018-03-09,,,,32.5,0
2018-03-08,32.5,32.5,26.7,32.5,3103
2018-03-07,29.6,29.6,29.6,29.6,100
2018-03-06,,,,32.7,0
2018-03-05,32.7,32.7,32.7,32.7,1200
2018-03-02,,,,33.5,0
2018-03-01,,,,33.5,0
2018-02-28,33.5,33.5,33.5,33.5,3000
2018-02-27,,,,30.5,0
2018-02-26,30.5,30.5,30.5,30.5,20530
2018-02-23,28.2,30.7,28.2,30.7,5100
2018-02-22,30.7,30.8,30.7,30.8,2000
2018-02-21,,,,34.1,0
2018-02-13,,,,34.1,0
2018-02-12,31.0,34.1,31.0,34.1,970
2018-02-09,34.1,34.1,34.1,34.1,100
2018-02-08,,,,31.0,0
2018-02-07,,,,31.0,0
2018-02-06,,,,31.0,0
2018-02-05,,,,31.0,0
2018-02-02,31.0,31.0,31.0,31.0,1020
2018-02-01,,,,31.97,0
2018-01-31,,,,31.97,0
2018-01-30,,,,31.97,0
2018-01-29,,,,31.97,0
2018-01-26,31.97,31.97,31.97,31.97,100
2018-01-25,,,,29.06,0
2018-01-22,,,,29.06,0
2018-01-19,,,,29.06,0
2018-01-18,29.06,29.06,29.06,29.06,75
2018-01-17,,,,29.06,0
2018-01-16,,,,29.06,0
2018-01-15,,,,29.06,0
2018-01-12,,,,29.06,0
2018-01-11,,,,29.06,0
2018-01-10,,,,29.06,0
2018-01-09,,,,29.06,0
2018-01-08,,,,29.06,0
2018-01-05,,,,29.06,0
2018-01-04,29.06,29.06,29.06,29.06,300
2018-01-03,,,,30.51,0
2018-01-02,30.51,30.51,30.51,30.51,100
2017-12-29,33.9,33.9,33.9,33.9,12045
2017-12-28,29.06,31.48,29.06,31.48,5400
2017-12-27,27.22,31.19,27.22,31.19,1700
2017-12-26,,,,29.45,0
2017-12-25,,,,29.45,0
2017-12-22,,,,29.45,0
2017-12-21,29.45,29.45,29.45,29.45,100
2017-12-20,,,,29.93,0
2017-12-19,,,,29.93,0
2017-12-18,,,,29.93,0
2017-12-15,,,,29.93,0
2017-12-14,25.96,29.94,25.96,29.93,300
2017-12-13,,,,28.58,0
2017-12-12,,,,28.58,0
2017-12-11,28.57,28.57,28.57,28.58,5100
2017-12-08,,,,28.96,0
2017-12-07,27.22,28.97,27.22,28.96,800
2017-12-06,,,,29.55,0
2017-12-05,27.32,29.55,27.32,29.55,800
2017-12-04,,,,30.03,0
2017-12-01,,,,30.03,0
2017-11-30,31.77,31.77,27.32,30.03,2400
2017-11-29,27.42,30.03,27.42,30.03,2600
2017-11-28,27.22,29.84,27.22,29.84,2120
2017-11-27,,,,30.03,0
2017-11-24,,,,30.03,0
2017-11-23,,,,30.03,0
2017-11-22,30.03,30.03,30.03,30.03,100
2017-11-21,30.03,30.03,30.03,30.03,10
2017-11-20,,,,30.03,0
2017-11-17,28.87,30.03,28.87,30.03,300
2017-11-16,27.13,31.97,26.93,31.97,1273
2017-11-15,29.83,29.83,29.83,29.84,600
2017-11-14,27.12,27.12,27.12,27.12,100
2017-11-13,30.03,30.03,30.03,30.03,50
2017-11-10,,,,30.03,0
2017-11-09,,,,30.03,0
2017-11-08,,,,30.03,0
