date,adj_open,adj_high,adj_low,adj_close,volume
2018-04-03,,,,2.8,0
2018-04-02,,,,2.8,0
2018-03-30,2.8,2.8,2.8,2.8,126
2018-03-29,,,,2.5,0
2018-03-28,,,,2.5,0
2018-03-27,,,,2.5,0
2018-03-26,,,,2.5,0
2018-03-23,2.5,2.5,2.5,2.5,325
2018-03-22,,,,2.9,0
2018-03-21,,,,2.9,0
2018-03-20,,,,2.9,0
2018-03-19,,,,2.9,0
2018-03-16,2.9,2.9,2.9,2.9,10
2018-03-15,,,,2.9,0
2018-03-14,,,,2.9,0
2018-03-13,,,,2.9,0
2018-03-12,,,,2.9,0
2018-03-09,2.9,2.9,2.9,2.9,132
2018-03-08,,,,2.6,0
2018-03-07,,,,2.6,0
2018-03-06,,,,2.6,0
2018-03-05,,,,2.6,0
2018-03-02,2.6,2.6,2.6,2.6,100
2018-03-01,,,,2.4,0
2018-02-28,,,,2.4,0
2018-02-27,,,,2.4,0
2018-02-26,,,,2.4,0
2018-02-23,,,,2.4,0
2018-02-22,,,,2.4,0
2018-02-21,,,,2.4,0
2018-02-13,,,,2.4,0
2018-02-12,,,,2.4,0
2018-02-09,2.4,2.4,2.4,2.4,100
2018-02-08,,,,2.3,0
2018-02-07,,,,2.3,0
2018-02-06,,,,2.3,0
2018-02-05,,,,2.3,0
2018-02-02,2.2,2.3,2.2,2.3,1366
2018-02-01,,,,2.0,0
2018-01-31,,,,2.0,0
2018-01-30,,,,2.0,0
2018-01-29,,,,2.0,0
2018-01-26,2.0,2.0,2.0,2.0,20
2018-01-25,,,,1.9,0
2018-01-22,,,,1.9,0
2018-01-19,,,,1.9,0
2018-01-18,,,,1.9,0
2018-01-17,,,,1.9,0
2018-01-16,,,,1.9,0
2018-01-15,,,,1.9,0
2018-01-12,2.0,2.0,1.9,1.9,2225
2018-01-11,,,,1.7,0
2018-01-10,,,,1.7,0
2018-01-09,,,,1.7,0
2018-01-08,,,,1.7,0
2018-01-05,1.8,1.8,1.7,1.7,560
2018-01-04,,,,1.9,0
2018-01-03,,,,1.9,0
2018-01-02,,,,1.9,0
2017-12-29,1.9,1.9,1.9,1.9,76
2017-12-28,,,,1.9,0
2017-12-27,,,,1.9,0
2017-12-26,,,,1.9,0
2017-12-25,,,,1.9,0
2017-12-22,,,,1.9,0
2017-12-21,,,,1.9,0
2017-12-20,,,,1.9,0
2017-12-19,,,,1.9,0
2017-12-18,,,,1.9,0
2017-12-15,1.9,1.9,1.9,1.9,1000
2017-12-14,,,,1.8,0
2017-12-13,,,,1.8,0
2017-12-12,,,,1.8,0
2017-12-11,,,,1.8,0
2017-12-08,1.8,1.8,1.8,1.8,200
