ticker,open,high,low,close,volume
aaa,19.9,20.5,19.6,20.1,1544200
aam,9.66,10.04,9.66,10.04,20
abt,33.97,33.97,33.97,33.97,250
acb,28.35,34.44,28.35,34.17,4694583
acc,17.83,17.83,17.83,17.83,30
acl,9.99,9.99,9.99,9.99,10
acm,0.7,0.8,0.7,0.8,240400
ads,16.2,16.2,16.05,16.05,13010
agf,5.0,5.0,5.0,5.0,6770
agm,8.42,8.61,8.33,8.61,570
agr,3.02,3.4,3.02,3.28,216310
alv,4.0,4.0,3.7,3.8,20750
amc,20.31,23.54,20.05,23.54,2500
amd,3.33,3.51,3.3,3.47,948130
amv,13.2,13.8,13.2,13.8,5300
anv,24.0,25.1,23.9,25.0,770180
apc,26.0,27.25,25.4,27.2,40200
apg,5.55,5.75,5.5,5.7,288970
api,19.5,20.1,19.5,20.1,500
aps,3.6,3.7,3.4,3.6,221201
asa,2.1,2.2,2.1,2.1,22600
asm,11.85,12.6,11.65,12.5,2353740
asp,6.04,6.59,5.97,6.6,1010
ast,61.12,61.22,57.24,57.24,171350
atg,1.76,1.82,1.71,1.8,4150
ats,46.0,47.3,46.0,47.3,9100
b82,1.5,1.6,1.5,1.6,4100
bbc,76.0,81.3,76.0,81.3,170
bbs,12.5,12.5,12.5,12.51,1900
bcc,6.5,6.8,6.3,6.8,34520
bce,5.11,5.39,5.09,5.38,36060
bcg,5.96,6.0,5.94,5.99,42690
bfc,27.07,28.4,27.07,28.4,33990
bhn,111.0,111.0,97.4,104.9,1140
bic,28.83,30.15,28.05,30.15,2300
bid,26.5,27.6,25.8,27.6,2874020
blf,3.9,3.9,3.9,3.9,100
bmc,13.4,13.6,13.4,13.6,900
bmi,25.7,26.8,25.7,26.8,33130
bmp,58.0,60.3,56.3,59.6,325470
bsi,12.61,12.9,12.42,12.8,102830
btp,11.5,11.5,11.0,11.5,90
btt,33.45,33.45,33.45,33.44,10
bvh,81.94,84.11,79.96,82.33,136660
