symbol,open,high,low,close,volume
abt,10.52,10.52,10.38,10.52,32620
acb,25.04,25.04,24.43,24.79,1763800
acl,8.34,8.34,8.34,8.34,1470
agf,8.17,8.36,8.17,8.24,41280
alt,14.41,15.27,14.17,14.66,9730
anv,4.86,4.94,4.76,4.76,145190
aps,11.0,12.0,10.4,10.9,56750
asp,8.61,8.61,8.33,8.33,80440
b82,3.92,4.23,3.92,4.24,4200
bbc,23.2,24.32,23.2,23.8,161040
bbs,6.71,6.71,6.67,6.72,3200
bcc,10.92,10.92,10.66,10.79,245000
bci,19.2,19.57,19.02,19.47,338810
bhs,4.24,4.37,4.24,4.35,44120
blf,6.19,6.19,6.09,6.14,40700
bmc,19.68,20.12,19.68,19.97,18750
bmi,12.15,12.33,11.93,12.33,37380
bmp,9.59,9.8,9.59,9.73,31210
bpc,6.4,6.4,6.4,6.4,100
bst,4.19,4.42,4.19,4.42,2600
bts,11.52,12.19,11.52,12.03,67700
bvh,35.91,37.08,35.6,36.22,212950
bvs,33.13,33.13,30.32,32.19,428500
c92,5.55,5.55,5.52,5.55,1300
can,9.04,9.23,8.73,8.73,19400
cap,,,,1.34,0
ccm,18.92,19.7,18.92,19.05,2200
cdc,11.24,11.41,10.89,11.06,19200
cii,11.59,11.93,11.51,11.79,346610
cjc,6.78,6.88,6.78,6.88,1000
clc,5.42,5.67,5.42,5.66,12540
cmc,10.98,10.98,10.68,10.67,4300
com,17.65,17.65,17.3,17.48,1520
ctb,4.05,4.05,4.05,4.05,100
ctc,6.32,6.35,6.32,6.35,2000
dae,4.93,5.1,4.93,5.1,400
dbc,10.37,10.71,10.26,10.56,147400
dc4,6.95,7.01,6.78,6.84,32200
dcl,14.65,14.98,14.43,14.65,56960
dcs,6.79,6.79,6.42,6.67,54000
dha,7.78,8.35,7.75,8.19,37150
dhg,12.9,13.01,12.67,12.9,88010
dht,3.9,4.01,3.9,4.01,5400
dic,5.71,5.88,5.71,5.88,15350
dmc,16.15,16.28,16.15,16.15,144100
dnp,1.31,1.4,1.29,1.36,31800
dpc,9.44,9.85,9.44,9.85,800
dpm,17.21,17.29,16.97,17.25,293770
dpr,20.28,21.64,20.28,21.64,25900
dqc,5.27,5.3,5.09,5.3,139930
