symbol,open,high,low,close,volume
agf,8.33,8.33,8.33,8.33,9100
agf,,,,8.33,0
bbc,7.08,7.08,7.08,7.08,7800
bbc,,,,7.08,0
bpc,5.24,5.24,5.24,5.24,1000
bpc,,,,5.24,0
can,8.17,8.17,8.17,8.17,3500
can,,,,8.17,0
dpc,7.12,7.12,7.12,7.12,2100
dpc,,,,7.12,0
gil,4.66,4.66,4.66,4.66,2200
gil,,,,4.66,0
gmd,5.71,5.71,5.71,5.71,3100
gmd,,,,5.71,0
hap,,,,6.88,0
hap,,,,6.88,0
has,4.01,4.01,4.01,4.01,500
has,,,,4.01,0
kha,4.33,4.33,4.33,4.33,900
kha,,,,4.33,0
laf,9.89,9.89,9.89,9.89,300
laf,,,,9.89,0
ree,1.72,1.72,1.72,1.72,36700
ree,,,,1.72,0
sam,2.67,2.67,2.67,2.67,6700
sam,,,,2.67,0
sav,6.45,6.45,6.45,6.45,18700
sav,,,,6.45,0
sgh,2.53,2.53,2.53,2.53,100
sgh,,,,2.53,0
tms,8.52,8.52,8.52,8.52,900
tms,,,,8.52,0
ts4,,,,3.02,0
ts4,,,,3.02,0
