symbol,open,high,low,close,volume,adj_close
aaa,16.7,18.0,16.5,18.0,391035,9.19
aam,13.5,13.6,13.0,13.6,320,11.35
abt,48.0,51.5,47.0,49.5,450,36.38
acb,15.4,15.5,15.2,15.4,11744,13.43
acc,31.5,31.5,31.5,31.5,0,
acl,9.9,10.0,9.7,9.7,2810,8.67
adc,18.0,18.0,18.0,18.0,0,
agf,20.8,20.8,19.1,20.1,130,15.59
agm,13.4,13.4,12.5,13.4,1140,10.97
agr,6.3,6.8,6.2,6.8,1689340,6.22
alt,12.5,12.5,12.5,12.5,100,9.73
alv,5.2,5.8,5.0,5.8,4800,4.97
amc,21.8,21.8,21.8,21.8,0,
ame,4.6,5.0,4.6,5.0,6600,5.0
amv,4.8,4.8,4.8,4.8,300,4.8
anv,9.5,9.5,9.1,9.1,11300,3.92
apc,14.1,14.5,14.1,14.5,2100,12.52
apg,4.7,4.8,4.6,4.8,170010,4.8
api,13.3,13.9,13.1,13.9,27180,13.9
app,12.5,12.5,12.5,12.5,1040,7.92
aps,5.3,5.6,5.0,5.6,603900,5.6
arm,17.1,17.4,17.0,17.4,4700,11.72
asa,16.6,16.6,16.6,16.6,0,
asm,8.2,8.7,8.1,8.7,1503410,5.75
asp,6.5,6.9,6.4,6.8,339420,5.75
b82,12.6,12.6,12.6,12.6,1000,7.46
bbc,40.9,45.0,40.9,43.9,15700,41.02
bbs,13.2,13.2,13.2,13.2,100,9.26
bcc,6.3,6.5,6.2,6.5,79275,4.97
bce,9.9,10.3,9.9,10.3,37050,7.57
bci,18.0,18.5,17.7,18.5,85640,14.45
bdb,6.6,6.6,6.6,6.6,0,
bed,13.2,13.2,13.2,13.2,0,
bgm,4.1,4.3,4.1,4.3,425660,4.3
bhs,11.8,12.2,11.6,12.2,212710,8.22
bht,6.1,6.1,6.1,6.1,0,
bic,10.5,10.5,10.2,10.5,35910,8.56
bid,14.5,14.7,14.4,14.7,181780,11.54
bkc,9.1,9.1,9.1,9.1,100,9.1
blf,6.0,6.0,6.0,6.0,0,
bmc,29.1,29.5,28.8,29.5,36480,21.85
bmi,13.8,14.3,13.7,14.3,104690,9.6
bmp,65.5,66.5,65.0,66.0,8590,32.72
bpc,10.1,10.1,9.7,9.8,3100,7.1
brc,10.3,10.8,10.3,10.3,3920,7.76
bsc,6.8,6.8,6.8,6.8,0,
bsi,5.1,5.4,5.1,5.4,264880,4.78
bst,13.5,13.5,13.5,13.5,0,
btp,12.9,13.0,12.7,12.9,34480,9.83
bts,5.5,5.5,5.5,5.5,0,
btt,37.0,37.0,37.0,37.0,0,
bvh,37.6,37.7,36.7,37.7,342210,34.23
bvs,11.0,11.4,10.8,11.4,780220,11.4
bxh,9.4,9.4,9.4,9.4,100,7.33
c32,29.4,30.4,29.4,30.0,30310,19.42
c47,20.9,20.9,20.9,20.9,0,
c92,10.0,10.0,10.0,10.0,100,8.63
can,29.0,29.0,29.0,29.0,400,25.84
cap,29.0,29.1,29.0,29.0,8000,13.02
cci,10.4,10.4,10.4,10.4,0,
ccl,4.3,4.6,4.3,4.6,800290,4.38
ccm,12.0,12.0,12.0,12.0,0,
cdc,5.8,6.1,5.6,6.1,81270,4.81
chp,10.0,10.0,9.9,10.0,97500,7.71
cig,3.5,3.6,3.2,3.6,38810,3.6
