symbol,open,high,low,close,volume
aaa,23.43,23.82,23.18,23.38,655400
aam,10.75,10.75,10.0,10.6,2060
abc,19.64,19.64,19.64,19.65,500
abi,25.9,25.9,23.7,23.7,1000
abt,41.79,41.79,41.79,41.79,3020
acb,25.2,25.3,24.6,24.7,3883267
acc,27.56,27.56,27.46,27.55,450
ace,28.3,28.3,28.3,28.3,19300
acl,8.4,8.5,8.22,8.44,3110
acm,1.8,1.8,1.7,1.8,174890
acv,51.0,51.1,50.9,51.0,122855
adp,36.53,36.53,36.53,36.54,7000
ads,20.44,20.76,20.4,20.71,256530
agf,9.17,9.17,9.17,9.17,2010
agm,9.82,10.1,9.82,10.0,5020
agr,3.89,4.14,3.89,3.92,927440
alt,13.44,13.44,13.44,13.44,1040
alv,3.4,3.4,3.3,3.3,1123
amc,25.74,27.52,25.74,27.52,6000
amd,13.4,13.4,13.2,13.3,302420
ame,3.8,3.8,3.8,3.8,1000
amp,9.4,9.4,9.4,9.4,100
amv,15.0,15.5,15.0,15.5,8700
anv,3.91,3.96,3.84,3.95,33670
apc,24.75,25.15,24.41,24.41,46420
apg,6.73,6.73,6.5,6.73,564370
api,20.1,21.6,19.5,21.3,18300
aps,2.5,2.5,2.4,2.5,53400
asa,2.2,2.2,2.2,2.2,42900
asm,15.7,15.8,15.45,15.5,1325570
asp,3.82,4.0,3.8,3.99,29280
atg,2.42,2.42,2.31,2.34,124050
ats,13.4,14.1,12.7,13.8,111900
b82,3.1,3.1,3.0,3.0,200
bax,26.58,26.58,22.1,22.1,13800
bbc,122.76,122.76,115.4,115.4,170
bbs,13.2,13.2,13.2,13.2,200
bcc,16.2,16.5,16.1,16.4,467720
bce,5.57,5.58,5.54,5.54,5020
bcg,4.8,4.92,4.8,4.9,463460
bci,25.0,25.0,25.0,25.0,500
bdg,31.74,31.74,31.74,31.73,100
bel,7.1,7.1,7.1,7.1,100
bfc,34.26,34.6,33.38,33.58,437720
bgm,0.92,0.92,0.92,0.92,73780
bhn,88.4,88.5,87.0,88.5,1980
bhp,12.2,12.2,12.2,12.2,100
bhs,12.8,12.8,12.5,12.5,1688430
bht,3.59,3.59,3.59,3.59,100
bic,38.41,38.41,38.21,38.22,450
bid,17.05,17.25,16.86,16.86,3129920
bii,2.7,2.8,2.5,2.6,295210
bkc,6.1,6.1,6.1,6.1,2200
blf,4.5,4.5,3.9,4.0,18100
bmc,21.72,22.6,20.85,20.95,51680
bmi,25.95,26.33,25.85,26.33,32450
bmp,114.84,114.84,111.16,112.92,112280
bpc,18.4,18.4,18.21,18.21,10500
brc,9.86,10.04,9.86,9.86,4060
bsi,11.45,12.03,11.4,11.84,15030
bsp,20.6,24.16,20.6,24.16,300
bsq,26.11,26.11,24.9,25.27,3600
bt6,5.3,5.3,4.8,5.0,2300
btd,18.0,18.0,18.0,18.0,300
btp,12.52,12.61,12.47,12.56,4510
bts,8.1,8.8,8.1,8.6,50800
btt,42.5,43.0,39.2,43.0,7930
btw,14.91,15.0,14.91,15.0,915
bvh,60.06,61.04,59.96,60.16,292670
bvn,7.05,7.05,7.05,7.05,400
bvs,16.3,16.3,16.0,16.1,109510
bxh,23.0,23.0,20.0,20.0,1400
c12,16.0,16.0,16.0,16.0,100
c21,17.82,17.82,17.82,17.81,1394
