symbol,open,high,low,close,volume
agf,,,,11.29,0
agf,,,,11.29,0
bbc,6.98,7.12,6.98,7.13,16960
bbc,,,,7.13,0
bpc,6.04,6.04,5.95,5.95,1100
bpc,,,,5.95,0
can,,,,7.73,0
can,,,,7.73,0
dha,4.85,4.85,4.81,4.8,1030
dha,,,,4.8,0
dpc,,,,4.87,0
dpc,,,,4.87,0
gil,,,,5.31,0
gil,,,,5.31,0
gmd,8.62,8.62,8.54,8.55,850
gmd,,,,8.55,0
hap,6.97,6.97,6.97,6.97,30
hap,,,,6.97,0
has,5.84,5.84,5.82,5.82,400
has,,,,5.82,0
kha,4.55,4.55,4.55,4.55,3030
kha,,,,4.55,0
laf,8.7,8.7,8.66,8.66,250
laf,,,,8.66,0
pms,4.76,4.76,4.76,4.76,50
pms,,,,4.76,0
ree,2.42,2.43,2.42,2.43,5750
ree,,,,2.43,0
sam,3.46,3.46,3.46,3.46,5450
sam,,,,3.46,0
sav,12.66,12.66,12.62,12.62,2020
sav,,,,12.62,0
sgh,2.48,2.48,2.48,2.48,460
sgh,,,,2.48,0
tms,8.39,8.39,8.39,8.39,600
tms,,,,8.39,0
ts4,,,,3.02,0
ts4,,,,3.02,0
vtc,16.3,16.3,16.13,16.13,500
vtc,,,,16.13,0
