symbol,open,high,low,close,volume
agf,14.96,14.96,14.96,14.95,35150
bbc,11.74,12.22,11.74,12.22,208620
bbs,3.46,3.46,3.46,3.46,5000
bpc,5.56,5.56,5.56,5.56,6050
can,11.1,11.1,11.1,11.1,15810
dha,9.38,9.38,9.38,9.38,35990
dpc,7.14,7.25,7.14,7.26,2470
dxp,0.97,0.97,0.97,0.97,300
gil,6.62,6.65,6.62,6.65,89430
gmd,19.64,19.64,19.64,19.64,33660
hap,7.09,7.09,7.09,7.1,37150
has,10.97,10.97,10.97,10.97,16230
htv,4.55,4.6,4.55,4.6,52010
kdc,4.69,4.86,4.69,4.86,20840
kha,4.14,4.16,4.14,4.16,26380
laf,8.12,8.16,8.12,8.16,56780
mhc,8.45,8.52,8.45,8.53,39040
nhc,3.8,3.8,3.73,3.73,1760
pms,5.29,5.36,5.29,5.36,3600
pnc,13.21,13.31,13.21,13.31,13400
ree,5.45,5.45,5.45,5.45,185760
sam,6.46,6.46,6.46,6.46,141590
sav,16.45,16.49,16.45,16.49,107630
sfc,2.76,2.76,2.76,2.76,2660
sgh,3.37,3.37,3.37,3.37,4900
ssc,13.14,13.27,13.14,13.26,5150
tms,14.93,15.23,14.93,15.23,5380
tna,5.23,5.23,5.23,5.23,900
ts4,4.75,4.75,4.58,4.57,1060
tya,18.93,18.93,18.76,18.76,94690
vnm,6.12,6.12,6.07,6.07,164480
vsh,4.26,4.41,4.26,4.35,15100
vtc,14.78,14.78,14.78,14.78,1170
vtl,7.52,7.52,7.52,7.52,100
