symbol,open,high,low,close,volume,adj_close
aaa,32.25,32.8,32.25,32.45,1234600,32.45
aam,9.66,10.4,9.66,10.4,6360,10.4
abt,28.0,28.9,28.0,28.9,260,28.9
acb,34.5,35.2,34.5,35.1,1869100,35.1
acc,20.7,20.7,20.6,20.7,1010,20.7
acl,8.65,8.75,8.65,8.75,34590,8.75
acm,1.6,1.7,1.5,1.7,1039100,1.7
adc,16.0,16.0,16.0,16.0,0,16.0
ads,17.45,17.5,17.35,17.45,21020,17.45
agf,9.02,9.64,9.01,9.64,630,9.64
agm,8.85,8.85,8.85,8.85,330,8.85
agr,5.49,5.68,5.49,5.63,742290,5.63
alt,,,,,0,12.8
alv,15.5,15.9,14.6,14.8,49800,14.8
amc,28.0,28.0,28.0,28.0,0,28.0
amd,10.35,10.8,10.15,10.15,2018530,10.15
ame,4.3,4.3,4.3,4.3,0,4.3
amv,16.0,16.0,15.0,15.5,3200,15.5
anv,10.4,10.5,10.2,10.4,337720,10.4
apc,87.6,90.8,87.6,90.8,42960,90.8
apg,5.35,5.58,5.35,5.44,331000,5.44
api,31.0,31.0,29.7,29.7,300,29.7
app,,,,,0,9.0
aps,,,,,84300,3.3
arm,,,,,0,23.5
asa,,,,,30200,2.5
asm,,,,,8226210,11.35
asp,,,,,64900,7.2
atg,,,,,29230,2.93
ats,,,,,11300,46.7
b82,,,,,5000,2.1
bax,,,,,7400,20.0
bbc,,,,,1340,90.5
bbs,,,,,0,12.8
bcc,,,,,128300,7.6
bce,,,,,20840,5.6
bcg,,,,,308730,6.54
bci,,,,,1800,34.9
bdb,,,,,0,10.0
bed,,,,,0,38.8
bfc,,,,,77500,33.75
bhn,,,,,23640,136.0
bht,,,,,0,3.6
bic,,,,,0,32.6
bid,,,,,1023650,24.35
bii,,,,,225600,1.8
bkc,,,,,0,8.4
blf,,,,,500,3.8
bmc,,,,,95760,15.3
bmi,,,,,19780,34.5
bmp,,,,,435580,89.1
bpc,,,,,0,18.5
brc,,,,,1390,10.35
bsc,,,,,0,14.4
bsi,,,,,114550,12.2
bst,,,,,0,11.8
btp,,,,,390,11.5
bts,,,,,2000,4.5
btt,,,,,1250,36.0
bvh,,,,,505920,58.4
bvs,,,,,20200,20.0
bxh,,,,,0,12.6
c32,,,,,151530,37.3
c47,,,,,209240,17.0
c69,6.3,6.5,5.8,6.4,366000,6.4
c92,6.6,6.6,6.6,6.6,0,6.6
can,28.6,28.6,28.6,28.6,0,28.6
cap,37.5,37.5,37.2,37.5,13800,37.4
cav,52.7,52.8,51.7,51.7,46860,51.7
cci,15.0,15.0,15.0,15.0,10,15.0
ccl,4.27,4.4,4.12,4.12,222790,4.12
ccm,33.3,34.0,33.3,34.0,600,34.0
cdc,16.8,16.8,16.4,16.4,1380,16.4
cdn,20.5,21.7,20.2,21.7,1900,21.7
cdo,2.72,2.81,2.72,2.75,111960,2.75
cee,24.5,25.2,24.15,25.2,30020,25.2
ceo,10.3,10.4,10.3,10.3,517600,10.3
chp,29.3,29.3,28.9,28.95,124890,28.95
cig,3.17,3.17,3.1,3.17,76390,3.17
cii,34.8,35.9,34.8,35.5,1875250,35.5
cjc,,,,,0,23.5
ckv,,,,,600,17.9
clc,,,,,790,68.0
