symbol,open,high,low,close,volume
aaa,6.45,6.45,6.02,6.16,361600
aam,15.9,16.73,15.9,16.73,7680
abi,2.81,2.81,2.81,2.81,2000
abt,22.47,22.53,22.47,22.48,7250
acb,15.42,15.42,14.38,14.46,902000
acc,14.54,14.85,14.41,14.85,6170
acl,13.58,13.58,12.89,13.41,360
adc,3.62,3.62,3.62,3.63,100
adp,2.4,2.4,2.4,2.4,100
agf,11.1,11.25,11.01,11.1,3300
agr,5.39,5.39,5.12,5.12,49660
alv,3.6,3.6,3.43,3.43,12300
ame,2.5,2.5,2.5,2.5,600
amv,2.7,2.7,2.7,2.7,6700
anv,2.64,2.64,2.47,2.47,6750
apc,8.93,9.17,8.93,9.17,20160
apg,2.7,2.7,2.7,2.7,1400
api,3.4,3.4,3.2,3.2,131400
app,4.82,4.82,4.82,4.82,200
aps,3.7,3.8,3.5,3.5,1090300
asa,13.53,13.53,13.14,13.33,129700
asm,5.27,5.33,5.21,5.21,426650
asp,3.16,3.16,3.01,3.0,29220
ata,5.7,5.7,5.4,5.4,15690
avf,6.34,6.34,6.08,6.07,205410
bbc,13.75,13.75,13.48,13.49,27100
bcc,3.6,3.6,3.43,3.42,172300
bce,4.52,4.52,4.35,4.35,22390
bci,11.03,11.03,11.03,11.03,2490
bgm,3.75,3.75,3.66,3.66,121040
bhs,8.3,8.3,8.0,8.0,29990
bic,4.95,4.95,4.66,4.66,122100
bkc,8.2,8.2,7.9,7.9,81600
blf,1.47,1.47,1.47,1.48,2900
bmc,33.33,33.33,31.7,31.69,212700
bmi,4.91,4.97,4.79,4.78,33280
bmj,4.45,4.45,4.45,4.45,100
bmp,15.96,15.96,14.87,14.93,35100
brc,8.41,8.41,8.21,8.2,31850
bsi,4.65,4.65,4.65,4.65,13450
btg,5.08,5.08,5.08,5.09,1300
btp,4.42,4.49,4.28,4.28,187960
btt,14.02,14.02,14.02,14.02,10
bvg,2.7,2.8,2.7,2.7,10000
bvh,24.15,24.24,23.09,23.09,475920
bvs,10.3,10.3,9.6,9.6,663400
c21,12.02,12.15,12.02,12.08,38510
c47,5.8,5.8,5.8,5.79,12020
c92,5.67,5.67,5.67,5.67,900
can,20.29,20.29,20.29,20.28,500
cap,4.53,4.58,4.53,4.59,600
cci,5.45,5.45,5.33,5.33,6910
ccl,4.0,4.0,3.91,3.9,12020
cdc,4.4,4.4,4.33,4.33,36260
chp,4.85,4.85,4.78,4.78,4000
cig,3.7,3.7,3.7,3.7,40
cii,19.44,19.44,18.5,18.51,322630
clc,9.4,9.4,9.4,9.4,1000
clg,4.96,4.96,4.96,4.96,57110
clw,7.44,7.44,7.37,7.37,2210
cmc,4.2,4.5,4.2,4.2,10700
cmg,3.83,3.83,3.65,3.66,110
cmi,9.73,9.73,8.88,8.87,206800
cms,6.34,6.45,6.34,6.34,8500
cmt,5.5,5.5,5.5,5.5,10
cmv,10.4,10.4,10.09,10.09,1510
cmx,4.2,4.4,4.2,4.3,6090
cng,12.18,12.18,11.8,12.08,36990
cnt,7.8,7.8,7.2,7.5,1000
com,20.64,20.64,20.64,20.63,10
cpc,7.99,7.99,7.99,7.99,200
csc,3.66,3.66,3.58,3.57,3200
csm,8.78,8.78,8.44,8.44,605940
cta,3.71,3.71,3.62,3.62,35600
ctc,5.13,5.38,5.13,5.38,1500
ctd,17.61,17.61,17.61,17.61,700
ctg,14.47,14.47,13.8,13.8,941750
cti,6.37,6.44,6.37,6.37,12000
ctn,4.14,4.14,4.04,4.04,11000
cts,4.46,4.6,4.46,4.46,123200
cvn,8.2,8.2,8.0,8.0,11200
cvt,2.32,2.32,2.23,2.26,31600
cx8,3.09,3.09,3.09,3.09,100
d11,5.96,5.96,5.85,5.85,4100
d2d,11.14,11.14,11.14,11.14,50
dac,15.0,15.0,15.0,15.0,500
dad,4.04,4.04,4.04,4.05,10400
dae,4.79,4.79,4.79,4.79,900
dag,6.85,6.85,6.85,6.85,10
dbc,12.4,12.4,12.04,12.16,55000
dbm,9.54,9.54,9.54,9.55,14500
dc2,6.3,6.3,6.3,6.3,200
dc4,4.0,4.0,4.0,4.0,100
dcl,2.32,2.32,2.32,2.32,2650
dcs,4.1,4.1,3.9,3.9,512000
dct,3.6,3.6,3.5,3.5,81110
ddm,2.1,2.1,2.1,2.1,130
dha,6.51,6.58,6.3,6.3,66590
dhc,4.1,4.1,4.03,4.03,22050
dhg,31.99,31.99,30.73,31.57,14050
dhm,14.11,14.58,13.65,13.64,218990
dht,10.83,11.0,10.66,10.9,8600
dic,5.2,5.2,4.97,4.97,250380
did,4.7,5.3,4.7,5.3,1700
dig,7.8,7.8,7.39,7.39,121190
dih,6.75,6.75,6.37,6.56,7100
dl1,6.76,6.76,5.98,6.41,700
dlg,3.86,3.86,3.77,3.77,183550
dlr,9.26,9.43,8.33,9.43,3400
dmc,10.33,10.33,10.12,10.12,1010
dnm,6.56,6.56,6.56,6.56,200
dny,3.85,3.85,3.8,3.81,120000
dpm,22.11,22.11,21.12,21.11,1231190
dpr,30.41,31.98,30.41,31.98,7060
dqc,9.11,9.11,8.89,8.89,82670
drc,11.0,11.0,10.56,10.56,836870
drh,2.8,2.8,2.7,2.7,16700
drl,14.4,14.4,14.16,14.28,2720
dsn,15.44,15.44,15.36,15.4,23060
dta,4.1,4.1,4.1,4.1,10
dtl,11.5,11.5,11.23,11.22,75000
dtt,5.08,5.25,5.08,5.25,160
dxg,3.98,4.07,3.76,3.89,194400
dxp,5.69,5.69,5.45,5.62,103100
dxv,4.77,4.94,4.77,4.94,13120
ebs,4.74,4.74,4.49,4.55,153700
eci,5.14,5.14,5.14,5.14,9700
efi,5.31,5.31,5.14,5.23,50500
eib,13.61,13.61,13.08,13.25,1390830
eid,5.09,5.09,5.09,5.09,300
elc,16.53,16.53,15.41,16.2,12170
fba,33.0,33.2,27.2,27.2,3700
fcn,7.07,7.07,6.75,6.75,251110
flc,4.81,4.95,4.55,4.55,704100
fmc,2.77,2.77,2.74,2.74,4020
fpt,16.4,16.4,15.86,15.98,94970
gas,30.15,30.15,29.11,29.56,454770
gdt,6.55,6.87,6.55,6.87,170
ggg,1.8,1.8,1.8,1.8,1000
ghc,8.36,8.44,8.36,8.44,1700
gil,23.36,23.36,23.36,23.36,30
glt,6.72,6.72,6.72,6.72,500
gmd,11.24,11.24,10.68,10.68,40900
gmx,5.81,6.29,5.81,6.29,200
gsp,3.52,3.52,3.4,3.4,42230
gta,5.35,5.35,5.01,5.28,120
gth,3.07,3.07,3.07,3.07,100
gtt,5.7,5.9,5.7,5.9,30640
hac,2.91,2.91,2.75,2.76,216100
had,19.77,19.77,19.77,19.77,1000
hag,19.77,20.48,19.61,19.61,647460
hai,5.75,5.75,5.75,5.75,790
hap,2.52,2.52,2.46,2.46,75820
has,5.2,5.2,5.0,5.0,4790
hax,2.56,2.56,2.56,2.56,4120
hbc,4.62,4.62,4.45,4.49,395970
hbs,6.9,7.1,6.7,7.1,400
hcc,3.7,3.7,3.62,3.66,1000
hcm,10.58,10.58,10.18,10.18,308150
hct,4.45,4.61,4.45,4.61,5700
hda,4.28,4.28,4.28,4.28,100
hdc,7.85,8.16,7.85,8.11,2970
hdg,6.68,6.68,6.38,6.38,86250
hdo,7.5,7.5,6.8,6.8,187900
hev,6.19,6.19,6.13,6.13,5200
hhc,6.76,6.76,6.76,6.76,800
hhg,2.19,2.19,2.03,2.03,700
hhs,9.24,9.24,9.16,9.17,18200
hig,3.38,3.38,3.38,3.38,500
hjs,3.88,3.88,3.72,3.77,57900
hla,4.0,4.0,3.8,3.8,51830
hlc,5.72,5.72,5.62,5.62,2000
hlg,8.72,8.9,8.62,8.71,54350
hmc,5.55,5.55,5.48,5.55,23230
hmh,7.14,7.31,7.04,7.31,10700
hnm,4.23,4.23,4.03,4.04,50500
hom,4.78,4.78,4.31,4.51,43600
hot,15.23,15.23,15.23,15.23,10
hpb,5.71,5.71,5.71,5.71,50000
hpg,4.75,4.75,4.57,4.57,344750
hpt,5.17,5.17,5.17,5.18,500
hqc,2.76,2.83,2.76,2.76,312210
hrc,18.88,18.88,18.88,18.88,10
hsg,4.04,4.06,3.86,3.87,830500
hsi,7.2,7.4,7.2,7.2,7050
ht1,3.83,3.83,3.59,3.6,66100
hti,4.9,4.9,4.58,4.77,2280
htp,3.52,3.52,3.52,3.52,1100
htv,7.24,7.43,7.18,7.43,890
hu1,5.15,5.15,4.9,4.9,22390
hu3,5.07,5.07,5.01,5.06,4440
hut,4.91,4.91,4.62,4.61,812400
hvg,8.9,9.24,8.73,8.73,34470
icf,3.6,3.6,3.6,3.6,3030
icg,5.56,5.56,5.31,5.31,139600
idi,4.58,4.58,4.39,4.39,105050
idj,3.4,3.4,3.2,3.2,383700
idv,3.02,3.02,3.02,3.01,100
ifs,10.2,10.2,10.2,10.2,1100
ijc,6.78,6.78,6.49,6.49,403810
imp,14.8,15.54,14.76,15.54,1610
inn,7.29,7.29,7.29,7.29,100
ita,5.0,5.09,5.0,5.0,1089970
itc,7.2,7.2,7.1,7.1,310870
itd,3.56,3.62,3.49,3.55,13080
ivs,3.26,3.26,3.1,3.26,20700
jvc,12.44,12.44,11.95,11.95,2740
kac,10.0,10.0,10.0,10.0,10
kbc,6.9,6.9,6.9,6.9,193600
kdc,10.61,10.73,10.54,10.69,246260
kdh,7.88,7.88,7.46,7.58,87670
kha,6.19,6.33,6.19,6.33,17780
khb,3.18,3.18,3.0,3.0,143000
khl,3.5,3.5,3.5,3.5,15500
khp,4.82,4.82,4.76,4.76,62900
kkc,4.64,4.7,4.53,4.69,26600
kmr,2.32,2.32,2.24,2.24,293210
ksa,9.75,9.75,9.5,9.51,530070
ksb,4.11,4.11,4.0,4.0,14450
ksd,1.9,1.9,1.9,1.9,41900
ksh,7.1,7.3,7.0,7.0,7020
ktb,7.14,7.23,6.95,6.96,584210
kts,15.75,16.13,15.75,16.13,300
ktt,2.7,2.7,2.7,2.7,100
l10,4.95,4.95,4.59,4.59,610
l18,5.55,5.55,5.55,5.55,700
l44,4.49,4.49,4.49,4.49,100
l61,4.94,4.94,4.8,4.8,7000
laf,7.2,7.2,7.0,7.0,690
las,10.3,10.51,9.91,10.01,149200
lbm,5.94,5.94,5.88,5.88,10400
lcg,6.94,6.94,6.75,6.75,510500
lcm,10.64,10.64,10.25,10.26,215650
lcs,6.24,6.24,6.07,6.07,40100
lgc,6.49,6.66,6.49,6.49,22940
lgl,3.16,3.25,3.16,3.17,7960
lig,4.15,4.15,4.15,4.15,1100
lm8,5.1,5.5,5.1,5.1,1420
