symbol,open,high,low,close,volume
abt,16.55,17.33,16.55,17.33,15140
acb,33.87,34.39,33.22,34.26,81400
agf,37.07,37.66,37.07,37.66,13760
alt,43.02,43.02,43.02,43.02,14240
bbc,34.01,35.28,34.01,35.28,29980
bbs,8.44,8.44,8.12,8.29,6300
bcc,21.85,22.2,21.79,22.2,70400
bhs,7.78,7.95,7.78,7.95,48350
bmc,67.34,67.34,67.34,67.34,1410
bmi,42.01,42.64,40.76,40.75,13100
bmp,22.51,22.51,21.97,21.97,18940
bpc,12.22,12.22,12.04,12.04,19400
bts,33.2,33.58,33.2,33.5,52000
bvs,82.94,83.16,82.94,83.16,28400
can,14.93,15.35,14.93,15.35,21270
cii,16.73,16.73,16.73,16.73,28410
cjc,10.75,10.75,10.75,10.75,1200
clc,9.05,9.05,9.05,9.05,5710
cmc,20.66,20.66,20.56,20.56,600
com,15.1,15.43,15.1,15.43,5200
ctb,,,,7.34,0
dae,6.14,6.26,5.67,6.26,6000
dha,14.72,14.81,14.72,14.81,46380
dhg,17.4,17.4,16.63,16.64,8000
dic,8.62,9.25,8.62,9.26,21700
dmc,27.59,27.83,27.59,27.83,55340
dnp,4.01,4.06,4.01,4.06,20140
dpc,17.73,18.59,17.73,18.59,24790
drc,8.21,8.47,8.21,8.47,22180
dtt,20.19,20.19,20.19,20.19,33790
dxp,3.18,3.18,3.18,3.18,59840
ebs,24.32,25.67,24.32,25.67,12800
fmc,8.83,8.94,8.77,8.94,21100
fpt,37.48,38.29,37.48,38.29,166220
gil,13.32,13.66,13.32,13.66,21510
gmc,6.53,6.53,6.35,6.35,50000
gmd,51.95,51.95,50.67,51.31,80080
hai,11.74,12.63,11.74,12.63,31100
hap,16.59,16.8,16.59,16.8,82590
has,28.95,30.7,28.95,30.7,61730
hax,6.66,6.7,6.66,6.7,5270
hbc,6.2,6.2,6.2,6.2,91960
hjs,8.15,8.15,7.93,8.01,5700
hly,,,,10.27,0
hmc,11.63,11.93,11.63,11.93,7340
hnm,31.35,32.91,30.52,32.83,12500
hrc,64.31,64.31,63.93,64.31,214640
htp,8.69,8.69,8.55,8.68,5000
htv,10.3,10.54,10.3,10.54,21800
icf,19.25,19.53,18.98,19.53,40300
imp,25.57,25.57,25.33,25.33,24450
ita,27.51,27.51,27.13,27.13,54300
kdc,26.59,26.59,26.59,26.59,30140
kha,10.43,10.93,10.43,10.93,40200
khp,8.67,8.89,8.67,8.89,95030
laf,7.95,8.04,7.95,8.04,13700
lbm,13.15,13.76,13.15,13.76,30130
lgc,6.94,6.94,6.94,6.94,12910
ltc,16.42,16.58,16.42,16.42,1400
mco,30.74,30.74,28.1,28.11,4700
mcp,7.07,7.07,7.07,7.07,12140
mec,14.37,14.37,14.37,14.37,900
mhc,13.54,13.62,13.54,13.62,15960
nav,29.58,31.74,29.58,31.75,47330
nbc,5.39,5.55,5.31,5.55,35600
nhc,6.59,6.66,6.59,6.66,5880
nps,,,,12.31,0
nsc,15.64,16.14,15.64,16.15,9820
nst,10.05,10.91,10.05,10.63,900
ntp,17.95,17.95,17.67,17.74,117600
pac,5.28,5.28,5.21,5.28,12000
pan,19.09,19.3,18.12,18.24,47100
pgc,10.74,11.03,10.74,11.03,57280
pjc,5.62,5.69,5.62,5.69,1000
pjt,7.28,7.44,7.28,7.44,14980
plc,7.31,7.31,7.16,7.31,2400
pms,11.04,11.04,10.85,10.85,15630
pnc,14.63,15.02,14.63,15.01,31920
pot,31.33,31.33,29.72,30.47,35100
ppc,33.54,33.54,32.36,32.6,213570
psc,10.57,10.57,9.74,10.5,9500
ptc,29.33,30.6,29.33,30.6,10400
pts,6.67,6.67,6.57,6.58,4100
pvd,54.45,54.45,54.45,54.45,109590
ral,46.76,47.9,46.76,47.9,31130
ree,26.03,26.68,26.03,26.68,300460
s55,6.9,6.9,6.9,6.89,100
s99,13.23,14.05,13.23,14.05,1900
saf,8.49,8.49,8.49,8.48,25290
sam,27.81,27.81,27.81,27.81,107800
sap,22.03,22.91,22.03,22.91,2000
sav,28.89,29.31,28.89,29.31,5370
scd,22.37,22.84,22.37,22.84,6010
sd5,7.25,7.49,7.25,7.49,1100
sd6,6.48,6.67,6.43,6.53,8100
sd7,41.48,43.81,40.44,42.0,15500
sd9,13.09,13.52,13.09,13.52,32500
sda,33.22,34.14,33.22,33.98,7200
sdc,15.93,16.13,15.12,15.12,1500
sdn,13.92,13.92,13.92,13.92,17700
sdt,18.31,18.82,17.56,18.75,17900
sdy,13.0,13.21,13.0,13.17,1300
sfc,7.78,8.14,7.78,8.14,29090
sfi,17.4,17.81,17.4,17.81,26520
sfn,11.51,12.08,11.51,12.08,5380
sgc,8.74,8.74,8.74,8.74,5000
sgd,16.6,17.1,16.6,16.79,7800
sgh,30.13,30.13,30.13,30.13,10510
sic,6.67,6.89,6.67,6.82,4300
sj1,7.04,7.19,7.04,7.18,16900
sjd,10.66,10.84,10.66,10.84,46290
sje,12.67,13.4,12.67,12.97,6900
sjs,72.03,73.01,72.03,73.02,150590
smc,9.28,9.47,9.28,9.47,28550
ssc,29.69,30.51,29.69,30.51,2650
ssi,28.39,28.96,28.39,28.69,220600
stb,25.04,25.22,25.04,25.22,1834680
stc,14.08,14.08,14.08,14.08,500
stp,7.67,7.86,7.67,7.86,13300
svc,59.99,61.76,59.99,61.76,19600
tac,19.15,19.68,19.15,19.67,9580
tbc,15.04,15.24,14.96,15.24,116200
tcr,14.45,14.67,14.45,14.67,20840
tct,25.01,25.01,25.01,25.01,4650
tdh,41.97,41.97,41.76,41.97,69300
tku,15.7,15.92,15.7,15.92,1200
tmc,12.33,12.42,12.33,12.42,36350
tms,0.0,17.33,16.95,17.33,1880
tna,12.62,12.62,11.7,12.01,72500
tph,17.7,17.7,17.62,17.7,1700
ts4,14.71,14.71,14.71,14.71,17270
ttc,11.24,11.69,11.24,11.69,27640
txm,19.47,20.61,19.18,20.04,12500
tya,22.63,23.12,22.63,23.12,13060
uni,12.06,12.06,12.06,12.06,13660
vc2,15.17,15.99,15.17,15.99,1200
vgp,18.65,18.65,16.87,16.88,123980
vid,21.55,22.21,21.55,22.21,82900
vip,25.91,26.21,25.91,26.2,19710
vis,10.79,10.79,10.6,10.59,3650
vmc,19.72,19.94,19.6,19.84,5400
vnc,11.47,11.66,11.42,11.66,9700
vnm,13.42,13.57,13.42,13.57,142080
vnr,16.46,16.46,16.38,16.38,1500
vpk,8.56,8.56,8.56,8.57,93060
vsh,20.29,20.29,20.29,20.29,111230
vtb,16.35,16.35,16.35,16.35,10400
vtc,27.53,29.09,27.53,29.09,5710
vtl,13.32,13.36,13.21,13.32,15200
vts,10.95,11.25,10.95,11.25,1700
vtv,5.96,6.26,5.96,6.26,11800
