symbol,adj_open,adj_high,adj_low,adj_close,volume
gas,91.09,91.9,90.28,91.9,342860
gdt,14.44,14.49,14.44,14.5,22540
gil,14.53,15.38,14.53,15.38,2370
glt,12.11,12.18,12.11,12.18,20300
gmc,,,,17.71,0
gmd,16.08,16.32,16.08,16.22,65140
gmx,7.57,7.57,7.57,7.57,200
gsp,9.2,9.2,9.04,9.19,53220
gta,9.15,9.31,9.15,9.15,510
had,,,,32.94,0
hag,23.36,23.63,23.27,23.45,2035890
hai,8.28,8.28,8.28,8.28,10
hap,5.61,5.68,5.61,5.61,379400
har,9.91,9.91,9.63,9.63,1075660
has,5.94,6.22,5.85,5.84,3610
hat,37.34,37.34,37.34,37.34,1000
hax,4.62,4.74,4.62,4.75,100
hbc,6.76,6.87,6.76,6.79,277740
hbe,,,,3.86,0
hbs,,,,5.5,0
hcc,4.88,5.02,4.88,5.03,2600
hcm,29.62,29.87,29.62,29.87,485700
hct,10.66,11.56,10.66,11.46,1500
hda,10.0,10.0,8.22,8.22,1100
hdc,10.84,10.84,10.84,10.84,1930
hdg,20.22,20.46,19.9,20.3,70800
hdo,3.7,3.8,3.6,3.6,186600
hev,,,,9.67,0
hgm,44.24,44.24,43.89,43.89,6000
hhc,16.73,17.26,16.73,17.26,900
hhg,3.82,3.9,3.74,3.82,241400
hhs,9.95,10.13,9.72,10.12,494460
hjs,7.69,7.69,7.69,7.69,3000
hlc,6.16,6.16,6.16,6.16,3935
hld,12.08,12.15,11.87,12.15,65800
hlg,4.9,4.9,4.9,4.9,100
hly,,,,7.87,0
hmc,7.43,7.43,7.35,7.35,6100
hmh,12.11,12.17,12.11,12.17,6011
hnm,9.85,9.85,9.65,9.75,11500
hom,6.57,6.66,6.57,6.66,4500
hot,,,,22.01,0
hpg,19.2,19.71,19.2,19.71,571810
hqc,6.96,6.96,6.87,6.87,3871370
hrc,22.51,22.51,22.51,22.51,1500
hsg,11.31,11.48,11.2,11.46,103940
hst,,,,4.01,0
ht1,11.72,11.88,11.57,11.8,851860
htc,,,,10.13,0
hti,7.69,7.77,7.69,7.77,13680
htl,8.92,8.92,8.92,8.92,10
htp,,,,5.12,0
htv,11.68,11.88,11.68,11.87,5380
hu1,6.24,6.24,6.24,6.24,10
hu3,7.15,7.3,7.15,7.3,410
hut,7.85,7.92,7.78,7.85,437900
hvg,13.33,13.44,13.27,13.33,468730
hvt,10.18,10.18,10.18,10.18,100
hvx,5.3,5.4,5.1,5.4,11080
icf,5.4,5.7,5.4,5.7,200940
icg,7.77,7.86,7.68,7.68,143800
idi,8.81,8.81,8.59,8.59,491240
idj,4.0,4.1,4.0,4.0,21700
idv,,,,8.87,0
ijc,10.85,11.01,10.69,11.02,1394840
imp,30.16,32.17,30.16,32.17,180870
inc,5.32,5.32,5.32,5.32,5000
inn,26.31,26.4,26.31,26.4,5100
ita,8.0,8.2,8.0,8.1,2042850
itc,7.81,7.91,7.81,7.81,80880
itd,4.28,4.28,4.16,4.16,18730
itq,8.46,8.55,8.37,8.55,321990
ivs,6.02,6.02,5.86,5.94,43300
jvc,13.93,13.93,13.76,13.76,63370
kac,10.01,10.01,10.01,10.01,10
kbc,11.1,11.2,10.9,11.0,451000
kdc,25.36,25.36,25.15,25.36,15180
kdh,10.43,10.49,10.27,10.49,45280
kha,16.78,17.58,16.78,17.58,340
khb,4.18,4.27,4.09,4.18,79700
khl,4.0,4.1,4.0,4.0,41300
khp,10.01,10.08,10.01,10.08,11030
kkc,11.72,11.72,11.59,11.66,34200
klf,9.55,9.63,9.31,9.31,3889490
kmr,5.65,5.65,5.58,5.57,697530
kmt,,,,5.86,0
ksa,9.2,9.2,8.9,9.0,1289920
ksb,8.7,8.73,8.54,8.6,14280
ksd,4.3,4.5,4.2,4.5,141000
ksh,6.2,6.2,5.9,5.9,170
ksk,12.5,12.5,12.1,12.1,94900
ksq,4.6,4.6,4.6,4.6,100100
kst,,,,2.79,0
kts,12.21,12.21,12.21,12.21,3200
ktt,4.1,4.1,4.1,4.1,200
l10,10.76,10.91,10.61,10.61,13020
l14,2.02,2.02,1.74,1.95,1900
l18,,,,5.54,0
l35,3.54,3.61,3.54,3.61,5100
l43,,,,7.2,0
l44,,,,4.69,0
l61,7.71,7.87,7.71,7.87,21100
l62,,,,3.02,0
laf,11.6,11.8,11.2,11.5,108330
las,16.88,16.93,16.69,16.78,112580
lbe,,,,8.8,0
lbm,11.1,11.1,11.1,11.1,8800
lcd,6.51,6.51,6.51,6.51,4000
lcg,7.4,7.4,7.31,7.31,357480
lcm,6.2,6.4,6.2,6.2,185460
lcs,5.2,5.2,5.2,5.2,2100
ldp,20.62,20.62,20.62,20.62,100
lgc,10.4,11.92,10.4,11.92,2310
lgl,4.17,4.42,4.17,4.42,118600
lhc,28.26,28.26,27.99,28.04,2700
lhg,6.95,6.95,6.95,6.95,10
lig,3.97,4.16,3.97,4.16,8500
lix,13.82,14.18,13.82,14.18,2020
lm7,4.0,4.0,3.9,3.9,3700
lm8,15.38,16.02,15.03,16.02,8520
lo5,3.69,3.69,3.69,3.69,2800
lss,9.44,9.52,9.36,9.35,50420
ltc,8.9,9.5,8.5,8.5,2200
lut,4.6,4.6,4.5,4.6,16400
mac,4.74,4.74,4.74,4.75,300
mas,35.45,35.5,35.45,35.45,4300
mbb,10.09,10.23,10.09,10.08,802810
mcc,10.84,10.84,10.69,10.69,7900
mcf,10.25,10.83,10.03,10.83,3600
mcg,6.9,6.9,6.7,6.8,443120
mco,4.0,4.1,4.0,4.1,500
mcp,,,,12.32,0
mdc,4.97,4.97,4.97,4.97,1200
mdg,4.55,4.71,4.47,4.71,65720
mec,4.49,4.97,4.49,4.97,1000
mhc,7.69,7.82,7.69,7.82,42440
mhl,,,,5.07,0
mim,,,,5.0,0
mkv,8.05,8.23,8.05,8.23,1100
mnc,8.52,8.52,8.39,8.52,13000
msn,58.2,59.15,58.2,58.52,147440
mwg,24.73,24.96,24.73,24.73,33590
nag,4.49,4.75,4.49,4.75,2100
nav,,,,5.16,0
nbb,16.74,17.3,16.66,17.22,1331350
nbc,6.36,6.54,6.36,6.42,6500
nbp,12.77,12.77,12.77,12.77,100
ndn,5.68,5.83,5.68,5.78,20300
ndx,,,,4.61,0
net,14.99,15.04,14.93,14.99,6500
nfc,17.93,17.93,17.93,17.93,500
ngc,,,,7.03,0
nha,,,,3.01,0
nhc,,,,12.01,0
nkg,5.49,5.54,5.28,5.38,127940
nlg,14.34,14.8,14.34,14.57,33010
nnc,17.94,18.22,17.94,18.22,19780
nps,,,,13.48,0
nsc,67.91,68.36,66.56,68.36,12070
nst,9.53,9.71,9.53,9.71,200
nt2,5.46,5.93,5.46,5.93,57400
ntl,12.01,12.25,12.01,12.17,455280
ntp,26.78,28.96,26.78,27.33,400
nvb,6.4,6.8,6.4,6.8,1100
nvt,6.8,6.8,6.6,6.7,131870
och,25.4,25.6,25.4,25.6,11300
ogc,11.6,11.6,11.4,11.4,579080
one,,,,5.73,0
opc,29.66,30.62,29.42,30.63,6540
ors,3.5,3.6,3.4,3.5,287800
pac,10.43,10.52,10.43,10.43,3820
