symbol,open,high,low,close,volume
aam,13.29,13.29,13.29,13.29,550
abt,16.25,16.94,16.25,16.25,1040
acb,13.23,13.3,13.16,13.23,664100
acc,8.45,8.45,7.9,8.4,6110
acl,13.77,13.92,13.54,13.62,4800
adc,1.98,1.98,1.98,1.98,2000
agf,9.39,9.39,9.39,9.39,4050
agr,6.4,6.4,6.22,6.22,1050
alt,8.01,8.01,7.31,7.3,9900
alv,3.72,3.72,3.72,3.73,1000
ame,3.1,3.1,3.1,3.1,100
amv,5.6,5.6,5.2,5.2,2600
anv,2.31,2.34,2.28,2.28,113110
apc,10.61,10.76,10.46,10.61,38740
apg,4.13,4.13,4.13,4.13,6100
api,4.1,4.1,3.9,4.0,47600
app,,,,4.68,0
aps,3.9,3.9,3.8,3.9,21600
arm,,,,6.37,0
asm,13.21,13.43,13.04,13.27,78030
asp,3.28,3.42,3.28,3.42,9860
b82,5.36,5.36,4.91,4.91,600
bbc,8.49,8.66,8.49,8.57,43500
bbs,4.11,4.11,4.11,4.11,4600
bcc,2.91,2.91,2.83,2.83,3800
bce,,,,3.37,0
bci,10.13,10.13,9.34,9.35,2560
bdb,2.08,2.08,2.08,2.08,100
bed,5.77,5.77,5.77,5.77,1000
bgm,6.61,6.61,6.34,6.43,89940
bhs,8.79,8.79,8.79,8.79,260
bht,,,,16.39,0
bic,3.79,3.85,3.79,3.79,83010
bkc,9.2,9.2,8.8,8.8,15200
blf,1.71,1.76,1.71,1.76,900
bmc,10.03,10.1,9.89,9.93,27760
bmi,5.29,5.34,5.07,5.29,1450
bmp,9.99,10.63,9.99,10.63,1130
bpc,,,,3.66,0
bsc,,,,6.75,0
bsi,6.36,6.36,6.19,6.19,52900
bst,,,,2.82,0
btp,2.07,2.07,2.07,2.08,7060
bts,,,,4.1,0
btt,8.27,8.27,8.27,8.27,10
bvh,51.89,54.44,51.89,52.74,39020
bvs,13.15,13.34,12.96,13.06,399500
bxh,,,,9.9,0
c32,,,,1.39,0
c47,3.63,3.63,3.63,3.63,4810
c92,,,,5.44,0
can,15.89,15.89,15.89,15.89,400
cap,2.06,2.06,2.01,2.02,1300
cci,4.76,4.76,4.76,4.76,10
ccl,9.71,10.67,9.71,10.67,40
ccm,7.34,7.34,7.02,7.02,2900
cdc,5.02,5.16,4.89,4.89,29000
chp,,,,3.42,0
cig,5.3,5.3,5.3,5.3,20
cii,10.47,10.98,10.47,10.52,76320
cjc,,,,6.21,0
ckv,3.63,3.63,3.63,3.62,200
clc,4.35,4.52,4.35,4.52,4300
clg,8.18,8.64,8.18,8.45,127300
clw,4.54,4.78,4.54,4.79,910
cmc,,,,10.5,0
cmg,6.6,6.6,6.42,6.51,9480
cmi,3.87,4.34,3.87,4.25,27900
cms,5.17,5.17,5.09,5.13,19900
cmt,5.5,5.5,5.41,5.4,3350
cmv,11.57,11.57,11.57,11.57,390
cmx,5.7,5.7,5.7,5.7,10
com,17.94,17.94,17.94,17.93,60
cpc,4.78,4.78,4.78,4.78,200
csc,,,,5.64,0
csm,3.27,3.27,3.14,3.15,35690
ct6,,,,3.69,0
cta,4.29,4.29,4.29,4.29,9000
ctb,,,,7.25,0
ctc,4.47,4.47,4.4,4.4,19400
ctd,12.84,12.95,12.23,12.23,54280
ctg,11.42,11.52,11.37,11.37,210610
