symbol,open,high,low,close,volume,adj_close
aaa,14.3,14.7,14.0,14.0,133100,5.38
aam,23.9,24.0,23.6,23.8,8980,12.77
abt,37.8,37.9,37.8,37.9,3110,17.78
acb,20.9,20.9,20.8,20.9,360300,20.9
acc,18.9,18.9,17.3,18.7,220,10.1
acl,23.5,24.3,23.0,23.5,4740,10.15
adc,6.3,6.3,6.3,6.3,0,1.97
agf,18.8,18.8,18.5,18.5,1200,7.96
agr,7.7,8.0,7.6,7.6,12280,6.36
alt,10.9,10.9,10.9,10.9,5000,8.03
alv,5.6,5.6,5.5,5.5,600,4.27
ame,4.2,4.3,4.1,4.1,2400,4.1
amv,6.9,6.9,6.7,6.9,1600,6.9
anv,7.0,7.0,6.7,6.8,23350,4.06
apc,12.1,12.1,12.0,12.1,15930,9.17
apg,4.3,4.3,3.9,3.9,13500,3.9
api,5.0,5.0,4.6,4.7,46900,4.7
app,11.0,11.4,11.0,11.4,2700,4.73
aps,4.2,4.3,4.0,4.1,8900,4.1
arm,10.8,10.8,10.7,10.7,6600,5.45
asm,21.3,21.5,21.0,21.3,26210,12.9
asp,5.3,5.6,5.3,5.3,15550,4.08
b82,12.3,12.3,11.9,11.9,3700,5.36
bbc,10.9,11.3,10.6,11.3,61640,9.58
bbs,9.0,9.0,9.0,9.0,100,5.24
bcc,4.1,4.3,4.1,4.3,24700,3.68
bce,6.9,6.9,6.9,6.9,100,3.26
bci,15.9,16.0,15.5,16.0,81240,9.19
bdb,6.7,6.7,6.7,6.7,0,4.08
bed,11.2,11.2,11.2,11.2,0,6.38
bgm,8.8,9.2,8.7,8.7,305850,7.77
bhs,31.9,32.3,31.5,32.3,1770,8.53
bht,12.1,12.1,12.1,12.1,0,10.55
bkc,10.1,10.1,9.9,10.1,13200,10.1
blf,3.7,3.9,3.7,3.9,2400,1.86
bmc,24.4,24.5,23.7,23.8,15100,8.83
bmi,10.1,10.1,9.6,10.1,24250,5.55
bmp,35.4,35.4,35.4,35.4,8000,11.1
bpc,7.3,7.4,7.3,7.4,11100,4.17
bsc,7.0,7.0,7.0,7.0,100,4.2
bsi,,,,,4920,7.63
bst,5.7,5.7,5.7,5.7,200,2.48
btp,4.7,4.7,4.5,4.6,1810,2.88
bts,5.0,5.0,5.0,5.0,900,4.58
btt,19.3,19.3,19.3,19.3,3520,9.68
bvh,66.5,67.5,66.0,66.0,35590,57.86
bvs,14.9,15.3,14.8,14.9,320800,14.9
bxh,10.7,10.7,10.7,10.7,0,6.94
c32,3.1,3.1,3.1,3.1,0,1.65
c47,9.2,9.2,9.2,9.2,20,3.83
