ticker,open,high,low,close,volume
aaa,6.82,6.97,6.77,6.88,731400
aam,8.12,8.12,8.0,8.12,4680
abt,33.09,33.09,32.76,33.09,980
acb,8.95,9.0,8.9,8.9,159152
acc,21.25,22.23,21.25,22.23,130
acl,7.96,8.12,7.87,8.13,5980
agf,14.35,14.58,14.35,14.58,2300
agm,7.63,7.63,7.48,7.63,390
agr,6.6,6.6,6.4,6.4,346230
alt,8.7,8.7,8.7,8.7,5807
alv,6.24,6.24,5.86,6.24,7500
amd,14.81,14.81,14.63,14.72,188200
ame,2.71,2.71,2.71,2.71,1500
amv,2.58,2.58,2.58,2.59,100
anv,4.23,4.23,4.11,4.11,8010
apc,17.1,17.93,17.1,17.66,219180
apg,5.88,6.06,5.05,6.06,23800
api,14.9,14.9,14.8,14.9,461200
app,7.73,7.73,7.73,7.73,3300
aps,4.8,5.0,4.8,5.0,276300
arm,15.84,15.84,15.84,15.84,5400
asa,6.28,6.37,6.08,6.28,57600
asm,7.51,7.73,7.43,7.66,4202660
asp,5.03,5.03,4.79,4.95,98440
avf,1.2,1.3,1.2,1.2,795240
b82,6.64,6.64,6.64,6.64,400
bam,5.3,5.4,5.2,5.3,1390900
bbc,50.87,54.64,50.87,53.69,620
bbs,10.71,10.71,10.71,10.72,100
bcc,14.53,14.76,14.46,14.54,272700
bce,5.57,5.63,5.46,5.57,31890
bci,16.33,17.11,16.33,17.11,41940
bed,12.35,12.35,12.35,12.36,5200
bgm,4.6,4.6,4.4,4.4,83690
bhs,7.66,7.73,7.66,7.73,1520
bic,14.35,14.35,13.76,14.35,385910
bid,15.19,15.27,14.78,14.78,2812950
bii,10.36,10.45,10.27,10.36,333800
bkc,13.5,13.5,13.0,13.0,13800
bmc,17.15,17.5,17.08,17.43,80750
bmi,12.09,12.09,11.62,11.68,57700
bmp,33.8,35.26,33.8,34.22,140300
bpc,8.24,8.36,8.24,8.3,1200
brc,5.84,5.9,5.84,5.9,9050
bsc,6.61,6.78,6.61,6.78,5800
bsi,7.86,7.86,7.59,7.65,174750
bt6,8.2,8.6,8.0,8.0,16900
btp,9.81,9.88,9.81,9.81,56850
bts,9.6,9.6,9.2,9.2,700
btt,28.24,28.24,28.24,28.24,9600
btw,12.34,12.34,12.27,12.26,3000
bvh,35.57,35.57,34.93,34.93,471590
bvs,13.24,13.59,13.24,13.42,356080
c32,16.53,16.8,16.53,16.79,5120
c47,10.73,10.73,10.73,10.73,10
cad,2.1,2.1,2.1,2.1,200
can,24.59,24.59,24.59,24.59,200
cap,11.88,11.88,11.58,11.69,1000
cav,15.9,15.9,15.69,15.69,11300
cci,7.24,7.82,7.24,7.24,2060
ccl,3.68,3.68,3.5,3.59,463830
