symbol,open,high,low,close,volume
abt,5.25,5.35,5.25,5.35,5000
acb,13.98,14.25,13.71,14.14,741800
acl,6.08,6.48,6.08,6.47,610
agf,5.08,5.42,5.08,5.42,23230
alt,11.22,11.22,10.24,11.22,2160
anv,4.17,4.2,4.17,4.17,58430
asp,5.05,5.25,5.05,5.18,17390
bbc,8.05,8.12,7.71,7.84,53600
bbs,4.2,4.2,4.2,4.2,5700
bcc,7.19,7.53,7.19,7.54,289300
bhs,2.81,2.83,2.81,2.83,200
bhv,15.06,15.76,14.78,15.55,5700
blf,3.81,3.81,3.62,3.81,10300
bmc,15.85,16.32,15.41,16.32,26880
bmi,6.4,6.62,6.4,6.44,19960
bmp,3.86,3.89,3.86,3.89,6820
bpc,4.14,4.14,4.14,4.14,3090
bt6,16.75,17.14,16.23,17.14,9250
btc,11.25,12.41,11.25,11.25,3510
bts,8.09,8.33,7.77,8.01,83200
bvs,10.63,10.94,10.19,10.81,170800
cad,7.73,7.73,7.73,7.73,2860
can,6.25,6.25,6.06,6.13,14560
cap,1.15,1.15,1.08,1.1,1200
ccm,13.79,14.2,13.65,14.2,12600
cdc,6.72,6.87,6.42,6.87,6100
cid,5.61,5.61,5.61,5.61,100
cii,6.43,6.75,6.43,6.75,10200
clc,6.64,6.64,6.64,6.65,10
cmc,6.02,6.1,5.95,6.1,5900
cnt,8.53,8.92,8.53,8.77,2360
com,13.22,13.22,13.22,13.22,600
ctb,3.07,3.1,3.07,3.1,400
ctn,5.78,5.78,5.78,5.78,800
cyc,9.2,9.3,9.2,9.3,210
dac,20.27,22.58,20.27,22.44,9700
dbc,5.9,6.02,5.82,6.01,27200
dc4,3.79,3.9,3.76,3.9,14200
dcl,7.32,7.32,7.25,7.3,17970
dcs,3.95,3.95,3.77,3.77,7700
dct,6.13,6.13,5.9,5.98,8340
ddm,8.3,8.58,8.3,8.49,16440
dha,5.2,5.38,5.2,5.39,3840
dhg,12.91,12.91,12.79,12.79,15670
dht,4.49,4.83,4.49,4.83,6100
dic,5.01,5.01,4.66,4.86,1300
dmc,11.99,11.99,11.99,11.99,2210
dnp,1.14,1.14,1.14,1.14,20
dpc,5.57,5.8,5.34,5.8,1760
dpm,13.41,13.63,13.36,13.54,235700
dpr,15.25,15.72,15.25,15.72,7140
dqc,3.97,3.97,3.81,3.94,33800
drc,1.38,1.45,1.37,1.41,9040
dtc,14.95,15.31,14.95,15.13,1300
dtt,5.84,5.84,5.84,5.84,10
dxp,1.96,2.01,1.96,2.01,4170
dxv,4.08,4.28,4.08,4.28,25800
ebs,3.87,3.93,3.87,3.91,7600
fmc,1.76,1.76,1.73,1.75,34400
fpt,10.43,10.54,10.3,10.54,133360
gil,4.29,4.35,4.29,4.33,20010
gmc,2.42,2.42,2.42,2.42,10
gmd,10.13,10.49,10.13,10.49,41340
gta,3.86,3.86,3.71,3.81,8820
hac,9.14,9.45,8.9,9.29,65200
hag,16.33,16.48,16.18,16.48,19160
hai,4.1,4.1,4.1,4.1,1500
hap,3.71,3.92,3.61,3.91,75410
has,6.65,6.65,6.65,6.65,6920
hax,3.06,3.22,3.06,3.22,3690
hbc,1.54,1.59,1.53,1.56,15680
hbd,3.56,3.56,3.56,3.56,450
hbe,6.55,6.55,5.86,6.17,800
hcc,1.52,1.66,1.52,1.66,300
hct,6.92,7.55,6.92,7.05,5500
hdc,3.77,3.79,3.71,3.71,6450
hev,4.33,4.33,4.33,4.33,1600
hjs,3.58,3.61,3.58,3.58,1500
hla,8.05,8.05,7.97,8.04,12460
hly,17.27,18.35,17.22,18.08,5900
hmc,4.71,4.71,4.49,4.67,1730
hnm,9.55,9.95,9.55,9.94,24000
hpg,3.42,3.44,3.38,3.44,252900
hrc,9.12,9.42,8.99,9.42,3750
hsg,2.0,2.09,2.0,2.0,263530
hsi,7.62,8.18,7.62,7.83,2280
ht1,9.19,9.37,9.07,9.38,25500
htp,3.18,3.18,3.14,3.17,1300
htv,3.68,3.91,3.68,3.87,2790
hut,1.67,1.68,1.65,1.65,4100
icf,4.95,5.16,4.95,5.02,18860
ifs,7.2,7.2,7.0,7.0,2400
imp,20.8,20.8,20.49,20.64,10750
ita,6.7,6.73,6.52,6.61,40060
kbc,15.55,16.57,15.55,16.53,55300
kdc,3.66,3.74,3.63,3.65,92090
kha,4.75,4.88,4.75,4.88,14940
khp,2.76,2.79,2.73,2.76,21930
kkc,4.89,4.89,4.63,4.71,24800
kmr,3.39,3.39,3.33,3.33,3720
ksh,11.67,11.67,11.67,11.66,20
l10,4.51,4.51,4.47,4.51,1010
l18,3.33,3.76,3.33,3.75,300
l43,9.62,9.92,9.62,9.93,2500
l61,4.12,4.25,4.12,4.25,300
laf,3.72,3.96,3.72,3.96,26830
lbe,3.71,3.74,3.47,3.47,2600
lbm,5.97,6.07,5.88,6.07,25020
lcg,7.6,8.33,7.6,8.24,121010
lgc,4.98,4.98,4.98,4.99,1110
lss,6.42,6.42,6.42,6.42,130
ltc,4.93,4.93,4.78,4.79,500
mcp,3.45,3.57,3.37,3.42,4930
mec,7.03,7.28,6.99,7.2,6000
mhc,4.34,4.45,4.34,4.34,6010
mic,10.94,11.49,10.94,11.18,15300
mkv,6.1,6.1,5.78,6.03,1800
mmc,10.33,10.33,10.33,10.33,1600
mtg,5.7,5.99,5.7,5.99,5070
nav,4.56,4.56,4.46,4.5,2600
nbc,2.89,2.89,2.8,2.88,19000
ngc,5.37,5.44,5.37,5.44,300
nhc,5.58,5.78,5.58,5.78,3100
nsc,8.3,8.46,8.07,8.46,15020
nst,4.28,4.28,4.28,4.28,400
ntl,4.72,4.72,4.67,4.72,80680
ntp,4.88,5.16,4.88,5.15,28800
one,3.58,3.74,3.58,3.73,3000
opc,6.29,6.57,6.29,6.56,34560
pac,6.18,6.18,6.16,6.18,16260
pan,5.31,5.7,5.31,5.7,60100
pet,4.85,4.93,4.85,4.93,57700
pgc,2.12,2.12,2.05,2.11,13320
pgs,2.46,2.46,2.46,2.46,3000
pit,5.76,5.81,5.71,5.82,6520
pjc,2.18,2.26,2.18,2.26,1200
pjt,3.24,3.24,3.21,3.21,1810
