ticker,open,high,low,close,volume
aaa,18.5,18.74,18.4,18.6,4396390
aam,12.3,12.3,11.45,11.65,5870
aav,9.1,9.2,9.1,9.2,12187
abt,37.08,38.79,37.04,38.65,260
acb,22.46,22.61,22.23,22.31,428679
acc,18.67,19.18,18.63,19.17,4790
acl,35.07,35.07,34.6,34.93,13690
acm,0.6,0.6,0.5,0.5,48900
ads,13.15,13.2,13.05,13.15,10190
agm,8.95,8.95,8.94,8.94,870
agr,4.11,4.17,4.1,4.11,190270
alt,11.43,11.43,11.43,11.42,100
amd,1.79,1.79,1.75,1.78,552300
amv,17.72,19.11,17.72,18.18,36000
anv,27.4,27.4,27.0,27.1,424030
apc,26.5,26.9,26.5,26.8,9770
apg,9.35,9.35,9.1,9.24,200340
api,22.4,23.5,22.4,23.0,300
aps,2.6,2.6,2.6,2.6,1000
arm,58.0,58.0,58.0,58.0,2000
art,2.5,2.5,2.4,2.4,168742
asm,6.2,6.2,6.13,6.17,1865730
ast,62.45,62.84,61.87,62.06,62700
atg,1.26,1.28,1.22,1.22,17620
bax,65.69,65.78,62.87,65.13,48000
bbc,61.7,61.7,61.7,61.7,10
bcc,8.3,8.4,8.3,8.3,113023
bce,6.32,6.32,6.2,6.25,24400
bcg,5.65,5.7,5.59,5.7,162180
bed,30.0,30.0,30.0,30.0,200
bfc,17.46,17.65,17.22,17.46,60620
bhn,84.58,84.58,84.58,84.58,30
bic,19.27,19.32,19.27,19.32,4520
bid,32.35,32.35,31.86,32.01,564180
bii,1.1,1.2,1.1,1.1,442500
bmc,15.1,16.0,14.9,16.0,39650
bmi,24.5,24.8,23.85,24.0,263520
bmp,43.71,43.71,43.14,43.42,131130
bsi,7.59,7.59,7.35,7.56,9350
bth,10.2,10.2,10.2,10.2,100
btp,12.69,12.88,12.69,12.79,26860
btt,37.08,37.08,35.73,35.73,220
btw,20.2,20.2,20.2,20.2,2
bvg,1.8,1.8,1.7,1.7,1300
bvh,81.87,82.07,81.38,81.77,199930
bvs,10.89,10.99,10.7,10.99,33500
bwe,27.5,27.9,27.2,27.5,482970
c32,25.48,25.53,25.39,25.53,10920
c47,12.7,13.0,12.65,12.9,6120
c69,13.16,13.16,12.91,13.16,173000
cap,31.88,31.88,31.31,31.56,1800
cci,12.49,13.6,12.49,12.83,480
ccl,5.18,5.44,5.02,5.44,596820
ccm,22.5,22.5,22.5,22.5,100
cdc,14.1,14.23,14.1,14.23,1350
cdn,17.1,18.56,17.0,18.08,2500
cdo,1.1,1.1,1.0,1.0,166462
cee,15.55,16.6,15.55,16.6,4610
ceo,10.1,10.2,10.1,10.1,230359
chp,20.72,20.91,20.72,20.91,6340
cia,16.36,16.36,16.09,16.09,2710
cid,9.4,9.4,9.4,9.4,300
cig,2.7,2.7,2.61,2.61,16650
cii,21.85,22.2,21.8,22.0,528010
clc,32.82,33.26,32.82,33.16,130
clg,2.09,2.09,2.02,2.02,5390
cll,26.5,26.5,25.5,25.5,2360
cmg,35.8,35.89,35.14,35.47,42240
cms,4.7,4.7,4.7,4.7,110
cmx,22.9,23.3,22.6,22.9,23070
cng,23.05,23.05,22.95,22.95,14950
crc,14.01,14.01,13.92,13.97,53100
cre,25.0,25.0,24.9,25.0,216840
csc,16.4,17.0,16.2,16.9,23110
csm,14.3,14.7,14.3,14.55,12060
csv,26.41,26.41,25.99,26.18,64590
ctd,100.08,102.7,99.89,101.14,70700
ctf,22.6,22.6,22.5,22.5,85080
ctg,21.15,21.15,20.75,20.9,3247610
cti,23.0,23.2,22.9,23.0,396610
ctp,3.3,3.3,3.3,3.3,100
cts,8.23,8.26,8.13,8.27,37480
ctx,10.43,10.43,10.43,10.42,4300
cvn,13.5,13.7,13.0,13.5,1400
cvt,19.45,19.45,19.1,19.3,132770
d11,11.69,11.69,11.69,11.69,300
d2d,79.0,79.0,75.8,77.0,106350
dad,16.8,16.8,16.8,16.8,100
dag,6.86,6.86,6.75,6.81,144440
dah,9.28,9.75,9.0,9.75,215950
dbc,21.9,22.4,21.9,22.0,57450
dbd,44.0,44.2,44.0,44.1,47550
dc4,10.4,11.0,9.7,10.3,13810
dcl,18.9,18.9,18.0,18.0,17480
dcm,7.21,7.22,7.16,7.17,113360
ddg,25.2,25.3,25.1,25.2,51800
dgc,29.38,29.86,29.19,29.76,72015
dgw,21.81,22.25,21.61,22.11,1167620
dha,34.0,34.58,34.0,34.57,2720
dhc,36.12,36.24,35.8,35.96,217370
dhg,106.9,106.9,104.5,104.7,39370
dhm,4.6,4.62,4.6,4.62,20
dht,33.02,33.11,32.08,32.45,12330
dic,2.9,2.97,2.9,2.97,90
dig,12.71,12.71,12.47,12.48,300800
dih,16.58,16.58,16.58,16.59,100
dlg,1.54,1.55,1.5,1.54,1623700
dmc,68.63,68.63,67.95,67.96,1610
dnp,14.8,14.8,14.8,14.8,1700
dp3,62.0,62.0,62.0,62.0,3262
dpc,45.0,45.0,45.0,45.0,100
dpg,37.1,37.2,36.5,36.85,80680
dpm,15.5,15.5,15.3,15.45,658990
dpr,38.07,38.16,37.2,37.33,104980
dps,0.5,0.6,0.5,0.6,180100
dqc,18.5,18.5,18.15,18.3,6330
drc,18.49,18.49,18.2,18.19,41880
drh,7.3,7.35,7.15,7.2,236000
drl,48.76,48.76,46.34,46.34,610
ds3,3.61,3.7,3.61,3.71,15100
dsn,57.2,57.5,57.0,57.5,4790
dst,1.1,1.2,1.1,1.1,101600
