ticker,open,high,low,close,volume
agf,21.4,21.4,20.96,20.97,6000
bbc,17.66,17.66,17.66,17.66,61220
bbs,4.86,4.86,4.78,4.83,3800
bpc,7.84,7.84,7.69,7.7,6340
can,15.25,15.25,15.25,15.25,11650
cii,7.91,7.91,7.91,7.91,65110
dha,11.71,11.71,11.49,11.48,10910
dpc,10.24,10.24,10.24,10.24,8400
dxp,1.68,1.69,1.56,1.62,13800
gil,5.0,5.0,4.9,4.9,11350
gmd,19.79,19.79,19.4,19.4,29190
hap,9.96,9.96,9.96,9.96,14910
has,11.92,11.92,11.92,11.92,9340
htv,6.03,6.03,5.99,5.99,23720
kdc,7.95,7.95,7.95,7.96,6100
khp,25.5,25.5,24.5,4.94,16100
laf,10.18,10.22,10.18,10.22,19990
mhc,7.93,7.93,7.93,7.92,21590
nhc,4.56,4.56,4.56,4.56,1020
nkd,38.75,38.75,38.75,38.75,5800
pms,7.75,7.75,7.64,7.64,13280
pnc,13.66,13.66,13.61,13.62,5940
ppc,13.09,13.09,11.8,11.97,191300
ree,8.73,8.73,8.58,8.58,61120
sam,9.34,9.34,9.24,9.24,42760
sav,17.6,17.6,17.42,17.42,12500
sfc,2.79,2.79,2.79,2.79,6150
sgh,5.09,5.09,5.09,5.09,4510
ssc,14.76,14.76,14.52,14.52,4160
tms,11.24,11.24,10.82,10.81,6790
tna,2.83,2.83,2.83,2.83,70
tri,31.53,31.53,31.1,31.1,9820
ts4,10.04,10.04,9.57,9.57,400
tya,19.94,19.94,19.33,19.34,69000
vnm,5.81,5.81,5.81,5.81,105830
vnr,6.4,6.4,6.24,6.28,3300
vsh,11.22,11.22,10.64,10.79,133500
vtc,27.09,27.09,27.09,27.09,2990
vtl,8.21,8.65,8.21,8.48,800
