ticker,open,high,low,close,volume
agf,11.58,11.58,11.43,11.44,910
bbc,7.45,7.45,7.31,7.31,19520
bpc,6.15,6.15,6.15,6.15,10
can,7.73,7.73,7.73,7.73,1240
dha,5.01,5.01,5.0,5.0,1120
dpc,4.87,4.87,4.87,4.87,210
gil,4.09,4.09,4.09,4.09,200
gmd,8.78,8.78,8.7,8.7,7720
hap,7.16,7.16,7.06,7.07,12700
has,6.12,6.12,5.7,5.71,6910
kha,4.58,4.58,4.49,4.49,21050
laf,9.07,9.07,8.7,8.7,1510
pms,5.0,5.0,4.94,4.94,430
ree,2.5,2.5,2.46,2.46,55720
sam,3.5,3.5,3.5,3.5,71830
sav,13.13,13.13,13.05,13.05,7930
sgh,2.52,2.52,2.52,2.51,700
tms,7.93,7.93,7.85,7.84,15800
ts4,2.97,2.97,2.97,2.97,2060
vtc,16.75,16.75,16.75,16.75,500
