symbol,open,high,low,close,volume
agf,9.71,9.71,9.71,9.71,2000
bbc,7.64,7.64,7.64,7.64,54400
bpc,5.27,5.27,5.27,5.27,200
can,7.62,7.62,7.57,7.57,1210
dha,4.86,4.86,4.84,4.84,6000
dpc,4.64,4.64,4.64,4.64,820
gil,5.53,5.53,5.53,5.53,2590
gmd,8.56,8.56,8.56,8.56,2990
hap,4.47,4.49,4.47,4.49,4790
has,5.53,5.57,5.53,5.57,1850
kha,4.82,4.84,4.82,4.84,11090
laf,13.93,13.93,13.89,13.89,38780
pms,4.89,4.89,4.89,4.88,1840
ree,2.33,2.33,2.32,2.32,10840
sam,3.29,3.3,3.29,3.3,5160
sav,12.66,12.66,12.66,12.66,2080
sfc,1.63,1.63,1.63,1.63,1470
sgh,2.41,2.45,2.41,2.44,300
ssc,7.95,8.0,7.95,8.0,1500
tms,8.25,8.25,8.17,8.17,2000
ts4,3.11,3.11,3.01,3.0,10
vtc,13.86,13.94,13.86,13.94,150
