ticker,open,high,low,close,volume
aaa,8.53,8.63,8.42,8.63,416800
aam,12.84,12.84,12.69,12.84,9000
abt,34.2,34.88,34.2,34.89,2300
acb,10.54,10.54,10.47,10.53,106825
acl,12.15,12.15,11.35,11.97,126470
agf,19.85,19.85,19.85,19.85,33440
agm,9.22,9.22,9.22,9.21,6700
agr,7.3,7.6,7.1,7.6,1760550
alv,5.57,6.25,5.57,6.24,10900
amc,15.02,15.02,15.02,15.02,350
ame,4.2,4.2,4.2,4.2,1900
amv,5.0,5.0,5.0,5.0,2500
anv,4.87,4.95,4.67,4.92,301360
apc,15.25,15.25,15.25,15.25,70800
apg,5.42,5.7,5.42,5.7,16100
api,11.4,12.0,11.4,12.0,39600
app,7.41,7.59,7.41,7.59,200
aps,6.3,6.4,6.2,6.4,1157300
asa,16.71,16.71,16.42,16.71,77500
asm,9.05,9.19,8.99,9.18,2099040
asp,7.57,7.99,7.15,7.99,950280
b82,6.91,6.91,6.91,6.91,2000
bbc,53.83,56.19,53.83,56.19,40
bbs,9.99,10.73,9.99,9.99,10800
bcc,8.8,9.03,8.65,8.95,229350
bce,7.56,7.69,7.37,7.68,448590
bci,14.84,15.23,14.61,15.23,57100
bdb,4.52,4.52,4.52,4.52,100
bed,10.95,10.95,10.95,10.95,2200
bgm,4.9,5.0,4.7,5.0,617860
bhs,8.01,8.01,7.94,8.01,7180
bic,10.49,10.58,10.32,10.58,222980
bid,11.62,11.62,11.45,11.54,473890
bkc,9.7,9.7,9.7,9.7,200
bmc,22.33,22.33,21.89,22.25,26110
bmi,12.26,12.4,12.19,12.4,254340
bmp,31.57,32.03,31.57,31.8,78850
bpc,8.3,8.3,8.3,8.31,500
brc,7.09,7.09,7.09,7.09,1510
bsi,7.82,7.99,7.73,7.99,245200
bst,8.08,9.18,8.08,9.18,1800
btp,8.43,8.97,8.43,8.97,564580
bts,6.3,6.3,6.3,6.3,18300
btt,24.04,24.74,24.04,24.74,2010
bvh,41.36,41.83,39.13,39.69,365600
bvs,14.6,14.79,14.12,14.78,839200
bxh,8.59,8.59,8.59,8.59,100
c32,18.15,18.26,18.09,18.26,5160
c47,10.44,10.64,10.44,10.63,1010
can,21.88,21.88,21.88,21.89,130
cap,11.71,11.71,11.71,11.71,250
ccl,5.42,5.52,5.33,5.52,542350
cdc,5.52,5.67,5.52,5.67,116070
chp,7.96,8.1,7.96,8.03,78500
cig,3.3,3.4,3.3,3.4,12030
cii,16.82,16.82,16.33,16.66,2697670
cjc,11.05,11.05,11.05,11.05,500
ckv,7.84,7.84,7.84,7.84,1000
