ticker,open,high,low,close,volume
aaa,25.6,25.78,25.49,25.56,814760
aam,9.44,9.67,9.44,9.68,150
abt,30.16,30.16,29.57,29.8,1110
acb,25.61,25.93,25.53,25.85,1321717
acc,22.81,22.81,22.81,22.81,10
acl,8.4,8.4,8.04,8.36,40
acm,1.8,1.9,1.7,1.8,377856
ads,16.97,17.01,16.4,16.57,38900
agm,8.51,8.51,8.51,8.52,20
agr,5.78,5.78,5.59,5.61,364220
alv,10.8,10.8,10.6,10.6,18200
amc,22.67,22.67,22.58,22.67,3700
amd,10.6,10.7,10.5,10.5,471060
ame,,,,3.13,0
amv,15.0,15.0,14.5,14.5,3700
anv,9.25,9.86,9.25,9.63,666630
apc,50.0,52.4,50.0,52.0,61710
apg,4.83,4.83,4.75,4.78,214610
api,29.0,31.4,29.0,31.4,500
aps,3.4,3.4,3.3,3.4,83700
asa,2.8,2.8,2.6,2.8,34500
asm,10.7,10.75,10.6,10.65,3183330
asp,6.13,6.22,5.91,5.91,21390
atg,3.62,3.62,3.57,3.59,84570
ats,25.1,25.2,24.5,24.5,55900
b82,2.5,2.5,2.4,2.5,8900
bax,19.91,19.91,19.91,19.91,400
bbc,109.72,109.72,109.72,109.71,40
bcc,8.4,8.4,8.3,8.3,13650
bce,5.0,5.04,4.96,5.04,29080
bcg,6.98,6.99,6.9,6.95,170860
bci,30.1,30.3,30.1,30.3,8090
bfc,33.34,33.55,33.09,33.09,75470
bhn,115.4,120.0,115.4,117.8,28030
bic,32.15,32.15,31.71,32.0,27410
bid,20.2,20.45,20.2,20.35,1723790
bii,2.7,2.8,2.6,2.7,67150
blf,4.3,4.3,4.3,4.3,300
bmc,16.56,17.13,16.46,16.94,20240
bmi,26.74,27.42,26.74,27.42,11970
bmp,71.88,71.88,70.14,70.23,323920
bpc,16.04,16.4,16.04,16.41,3100
brc,9.62,10.36,9.62,10.36,960
bsi,13.07,13.86,13.07,13.76,6940
btp,8.97,8.97,8.89,8.98,100
bvh,54.39,55.58,54.39,54.89,500640
bvs,19.01,19.11,18.43,18.91,13796
bwe,26.27,26.56,26.27,26.42,318450
c32,26.57,26.99,26.57,26.95,130610
c47,14.25,15.0,14.16,14.17,206320
c69,6.56,7.0,6.47,6.92,154800
c92,7.1,7.1,6.6,6.6,385
can,25.62,25.62,25.62,25.62,100
cap,33.51,34.57,33.51,33.95,30800
cav,53.6,54.0,53.6,50.72,14270
cci,14.19,14.19,14.19,14.18,25500
ccl,3.98,3.98,3.98,3.98,616370
ccm,38.85,38.95,38.85,38.95,200
cdc,14.94,15.41,14.94,15.41,32050
cdn,15.62,16.59,15.32,16.58,1100
cdo,3.37,3.43,3.37,3.42,370520
cee,24.5,24.8,24.3,24.6,31320
ceo,9.72,9.81,9.63,9.72,1687900
cet,5.36,5.45,5.27,5.27,38700
chp,23.15,23.32,22.98,23.06,89490
cig,2.3,2.3,2.3,2.3,28740
cii,34.05,35.85,34.0,35.1,2120100
clc,45.89,45.89,44.67,45.59,540
clg,5.85,5.85,5.37,5.37,24300
clh,12.82,12.82,12.82,12.82,300
cll,24.9,25.32,24.9,25.32,60
clw,18.08,18.18,18.08,18.18,1970
cmg,15.48,15.57,15.39,15.39,18250
cms,5.1,5.1,4.8,4.8,6600
cmt,10.9,11.0,10.6,11.0,1220
cmx,4.55,4.59,4.4,4.59,4050
cng,27.17,27.17,26.32,26.98,45960
com,46.18,46.18,46.18,46.18,10
csc,15.35,15.35,15.3,15.35,23100
csm,13.71,13.81,13.66,13.66,129190
csv,31.42,32.03,31.42,31.6,1050
cta,1.7,1.7,1.7,1.7,170
ctb,28.22,28.22,28.22,28.22,100
ctc,4.0,4.0,4.0,4.0,12
ctd,201.38,205.25,201.38,204.18,196490
ctf,18.89,18.89,17.95,18.58,25100
ctg,19.0,19.2,19.0,19.15,1573280
cti,26.16,27.23,26.06,27.03,604840
ctp,11.82,11.82,11.24,11.24,618280
cts,10.32,10.32,10.18,10.28,230530
ctx,21.0,23.1,21.0,21.0,17300
cvn,5.3,5.3,5.2,5.2,5500
cvt,39.4,39.77,39.25,39.32,471380
cx8,8.32,8.32,8.32,8.32,500
d2d,48.21,50.27,48.21,49.52,14570
dag,10.25,10.29,10.11,10.11,113980
dah,4.31,4.31,4.25,4.26,233590
dat,22.56,22.56,22.56,22.57,80
dbc,26.11,26.11,25.82,26.11,12200
dbt,13.55,13.9,13.55,13.89,35300
dc4,9.36,9.36,9.28,9.37,11800
dcl,22.01,22.45,22.01,22.11,46120
dcm,12.55,12.6,12.51,12.55,1244600
dcs,2.3,2.4,2.3,2.3,154957
dgc,32.4,32.5,32.4,32.4,8600
dgl,35.76,35.76,32.51,32.61,1200
dgw,19.12,19.22,18.68,19.12,532360
dha,33.2,33.2,32.91,32.91,26890
dhc,28.06,28.22,28.06,28.14,53680
dhg,103.09,107.95,102.21,107.47,346030
dhm,4.93,5.05,4.91,5.0,246600
dhp,9.27,9.36,9.27,9.36,20400
dht,42.9,44.4,42.9,43.83,8624
dic,6.14,6.2,6.14,6.18,89270
dig,14.95,15.18,14.86,14.95,987170
dih,11.0,11.0,10.91,10.91,7000
dl1,25.9,26.1,25.8,25.8,21900
dlg,3.48,3.59,3.48,3.51,660200
dmc,101.9,107.36,101.9,107.27,570
