symbol,open,high,low,close,volume
aaa,6.77,6.82,6.67,6.72,146300
aam,10.91,10.91,10.83,10.83,1560
abt,38.89,39.67,38.89,39.67,170
acb,13.32,13.48,13.32,13.48,122734
acc,25.69,25.69,25.69,25.69,20
acl,8.8,8.8,8.62,8.81,3880
adc,,,,13.66,0
agf,16.99,16.99,16.99,16.98,20140
agm,8.51,8.59,8.51,8.59,2230
agr,6.0,6.1,5.8,5.8,197400
alt,,,,10.02,0
alv,6.63,6.92,6.63,6.72,6100
amc,,,,16.94,0
amd,14.53,14.71,14.35,14.53,186400
ame,3.7,3.7,3.7,3.7,800
amv,3.6,3.6,3.6,3.6,400
anv,4.55,4.55,4.38,4.51,15230
apc,16.83,16.83,16.46,16.46,39750
apg,4.87,4.87,4.78,4.78,4000
api,14.6,15.0,14.6,14.8,418500
app,,,,8.98,0
aps,4.6,4.6,4.4,4.6,112690
arm,17.08,17.08,17.08,17.08,100
asa,5.41,5.41,5.12,5.22,116100
asm,8.23,8.23,8.05,8.14,775890
asp,5.42,5.42,5.24,5.33,12210
b82,,,,6.98,0
bbc,56.19,57.14,55.72,57.14,1030
bbs,13.04,13.04,13.04,13.03,100
bcc,14.06,15.0,14.06,14.61,589960
bce,7.28,7.28,7.06,7.13,20080
bci,16.8,16.8,16.72,16.72,45280
bdb,,,,3.72,0
bed,14.75,14.75,14.75,14.76,100
bgm,4.1,4.1,4.0,4.0,176750
bhs,7.66,7.66,7.44,7.44,1280
bht,,,,5.57,0
bic,14.53,14.53,14.34,14.43,33850
bid,14.36,14.61,14.2,14.45,1102480
bii,9.09,9.09,8.55,8.82,359600
bkc,14.0,14.0,14.0,14.0,100
blf,,,,4.1,0
bmc,16.79,17.81,16.79,17.51,34320
bmi,11.63,11.91,11.63,11.63,46580
bmp,36.29,36.99,36.05,36.76,19660
bpc,9.78,10.0,9.78,10.0,1300
brc,,,,7.82,0
bsc,,,,7.08,0
bsi,9.75,9.84,9.66,9.66,51120
bst,,,,10.9,0
btp,12.07,12.3,12.0,12.15,14690
bts,10.6,10.8,10.6,10.6,71600
btt,30.15,30.15,30.15,30.15,3200
bvh,34.37,34.65,33.99,33.99,303370
bvs,14.4,14.5,14.3,14.3,110100
bxh,6.62,6.62,6.62,6.62,100
c32,22.4,22.4,22.19,22.19,280
c47,12.95,12.95,12.95,12.94,10
c92,,,,11.41,0
can,23.17,23.17,23.17,23.17,200
cap,16.43,16.43,16.43,16.43,100
cav,18.21,18.21,18.11,18.12,26930
cci,9.76,9.76,9.12,9.12,5670
ccl,3.9,3.9,3.8,3.81,111390
ccm,,,,40.59,0
cdc,7.45,7.53,7.36,7.53,7450
cdo,13.53,13.66,13.46,13.6,885650
ceo,8.6,8.88,8.6,8.73,1198710
chp,11.56,11.64,11.56,11.64,9500
cig,2.2,2.3,2.2,2.3,800
cii,15.81,16.41,15.72,16.16,3104350
cjc,13.19,14.72,13.19,14.72,700
ckv,9.3,10.33,9.3,10.33,1100
clc,,,,17.33,0
clg,8.1,8.3,8.1,8.3,126740
cll,22.21,22.57,22.21,22.56,410
clw,13.23,14.79,13.23,14.79,60
cmc,5.0,5.0,5.0,5.0,1200
cmg,9.9,10.08,9.72,9.9,72090
cmi,15.6,16.3,15.6,16.1,238100
cms,9.93,10.38,9.93,10.37,143100
cmt,11.0,11.0,11.0,11.0,10
cmv,,,,12.04,0
cmx,8.2,8.2,8.0,8.2,22090
cng,24.16,24.16,24.08,24.09,230
com,28.3,29.74,28.07,29.74,490
cpc,16.62,16.62,16.62,16.62,1900
csc,11.27,11.27,11.27,11.27,100
csm,19.55,19.65,19.4,19.45,868350
csv,15.53,15.85,15.53,15.85,3800
ct6,,,,6.46,0
cta,3.9,4.1,3.5,3.5,44900
ctb,18.38,20.79,18.38,19.53,2860
ctc,6.68,6.68,6.68,6.68,100
ctd,46.5,47.17,46.17,46.5,19570
ctg,15.51,15.86,15.42,15.69,1890350
cti,8.98,8.98,8.98,8.98,50
cts,7.04,7.04,6.88,6.96,61910
ctx,,,,10.7,0
cvn,2.4,2.5,2.4,2.5,400
cvt,10.71,10.71,10.47,10.55,94110
cx8,3.85,4.32,3.85,4.31,10400
d11,,,,11.1,0
d2d,,,,26.3,0
dad,9.88,10.29,9.88,10.29,600
dae,,,,12.46,0
dag,7.93,7.93,7.93,7.92,6600
dbc,20.34,20.41,20.27,20.34,9400
dbt,11.73,12.01,11.73,12.01,11200
dc2,,,,2.3,0
dc4,6.28,6.28,6.28,6.28,100
dcl,12.37,12.58,12.37,12.52,52890
dcs,4.2,4.2,4.1,4.1,120806
dgc,21.03,21.27,21.03,21.09,1700
dha,13.11,13.27,13.03,13.04,91110
dhc,13.34,13.34,12.96,13.34,7420
dhg,52.63,52.63,52.05,52.04,7080
dhm,4.11,4.11,4.02,4.11,23470
dhp,6.47,6.47,6.47,6.47,2500
dht,8.91,9.05,8.91,9.05,1700
dic,7.27,7.27,7.1,7.09,15790
did,,,,5.2,0
dig,10.17,10.17,10.0,10.0,607790
dih,6.79,6.79,6.79,6.79,4000
dl1,3.72,3.72,3.72,3.72,400
dlg,9.62,9.62,9.42,9.52,1407160
dlr,,,,7.2,0
