symbol,open,high,low,close,volume
agf,21.99,22.28,21.99,22.14,30760
bbc,21.3,21.58,21.07,21.58,59530
bbs,4.59,4.75,4.59,4.71,4200
bmp,7.96,8.06,7.96,8.07,113610
bpc,8.84,9.23,8.84,9.23,14950
can,14.33,14.86,14.33,14.86,27050
cii,8.02,8.36,8.02,8.36,195440
com,10.66,11.02,10.66,11.01,30110
dha,11.68,11.77,11.68,11.77,47460
dpc,11.32,11.32,11.32,11.31,16860
dxp,1.65,1.69,1.65,1.67,4000
gil,8.74,8.92,8.74,8.92,62180
gmd,28.72,28.9,28.72,28.91,99800
hap,8.23,8.23,8.23,8.23,49250
has,15.29,15.29,15.29,15.29,7620
htv,7.35,7.58,7.35,7.58,20590
kdc,8.15,8.46,8.15,8.45,12550
kha,7.01,7.01,7.01,7.01,30370
khp,4.27,4.31,4.27,4.27,17800
laf,8.32,8.32,8.23,8.22,56720
mhc,11.25,11.46,11.25,11.45,36370
nhc,5.9,5.97,5.9,5.97,15190
pms,10.5,10.68,10.5,10.68,25210
pnc,13.76,14.45,13.76,14.45,4360
ppc,15.13,15.24,15.08,15.23,174500
ree,9.15,9.15,9.15,9.15,107210
sam,11.04,11.26,11.04,11.26,72080
sav,20.41,20.64,20.41,20.64,64330
sfc,4.35,4.37,4.35,4.37,16300
sgc,11.76,11.76,11.76,11.76,1650
sgh,6.52,6.71,6.52,6.7,6490
sjs,8.74,8.74,8.74,8.74,29180
ssc,16.23,16.23,15.97,15.97,19340
stb,11.23,11.23,11.23,11.23,358380
tbc,11.4,11.83,11.4,11.7,38800
tku,13.38,13.74,13.33,13.54,15100
tms,16.12,16.12,15.96,16.11,21540
tna,7.8,7.89,7.8,7.89,1680
ts4,7.01,7.22,7.01,7.22,10700
ttc,9.8,10.03,9.8,10.03,58010
tya,32.95,33.91,32.95,33.91,105060
uni,3.34,3.45,3.34,3.45,25380
vnm,7.18,7.27,7.18,7.27,196580
vnr,6.26,6.26,6.26,6.26,100
vsh,11.26,11.51,11.26,11.51,335110
vtc,24.45,25.55,24.45,25.55,7600
vtl,9.1,9.1,9.1,9.1,1000
