ticker,open,high,low,close,volume
aaa,4.59,4.59,4.44,4.5,92600
aam,13.31,13.31,13.26,13.26,1810
abt,17.56,17.56,17.56,17.56,10
acb,12.31,12.31,12.2,12.25,157700
acc,7.9,8.6,7.9,7.95,140
acl,14.22,14.22,13.75,13.93,28140
adc,1.98,1.98,1.98,1.98,100
agf,9.75,9.84,9.48,9.84,8940
agr,7.13,7.13,7.13,7.13,8470
alt,8.28,8.28,8.28,8.28,100
alv,4.11,4.11,4.03,4.03,4900
amv,6.0,6.0,6.0,6.0,300
anv,2.31,2.31,2.22,2.25,232220
apc,10.61,10.69,10.46,10.46,20580
apg,4.87,5.15,4.6,4.69,22100
api,4.5,4.6,4.4,4.4,36000
app,4.23,4.34,4.16,4.34,5900
aps,4.6,4.6,4.4,4.4,39900
asm,14.37,14.37,13.81,13.82,238890
asp,3.69,3.76,3.69,3.76,2250
b82,5.09,5.09,5.09,5.09,500
bbc,9.83,9.83,9.41,9.67,15480
bbs,3.69,3.9,3.69,3.9,1200
bcc,2.99,3.06,2.91,2.91,66000
bce,3.41,3.41,3.37,3.37,11150
bci,10.34,10.34,10.0,10.0,32730
bgm,7.86,7.86,7.5,7.59,272740
bhs,8.18,8.44,8.13,8.45,1060
bic,4.49,4.56,4.49,4.49,24100
bkc,10.4,10.7,10.3,10.3,15900
blf,1.9,1.9,1.8,1.81,22300
bmc,9.47,9.47,9.36,9.36,6120
bmi,5.55,5.55,5.5,5.5,14840
bmp,10.13,10.13,10.13,10.13,200
bpc,3.55,3.55,3.5,3.5,1400
bsi,6.61,6.87,6.61,6.87,64110
btp,2.37,2.37,2.31,2.31,8520
btt,8.03,8.32,7.99,8.32,1990
bvh,53.17,54.02,52.32,53.17,34440
bvs,13.83,13.92,13.44,13.44,467400
c47,3.66,3.66,3.55,3.66,2020
can,19.14,19.14,18.2,18.2,3600
cap,2.4,2.4,2.32,2.33,3500
ccl,10.38,10.38,10.38,10.38,10
ccm,9.42,9.5,8.7,8.7,15300
cdc,6.1,6.23,6.03,6.23,10310
cig,5.9,5.9,5.5,5.5,3670
cii,10.52,10.52,10.01,10.01,127560
ckv,3.94,3.94,3.94,3.94,100
clc,4.28,4.28,4.15,4.18,3240
clg,8.54,8.54,8.26,8.26,172130
clw,4.54,4.54,4.54,4.54,8630
cmg,6.46,6.46,6.46,6.46,4000
cmi,5.57,5.57,5.29,5.29,33100
cms,5.43,5.6,5.43,5.55,12000
cmt,5.93,6.36,5.93,6.1,20150
cpc,5.32,5.32,5.07,5.12,600
csc,5.44,5.44,5.02,5.1,1500
csm,3.96,3.96,3.83,3.84,5110
ct6,4.79,4.79,4.79,4.79,200
cta,4.38,4.38,4.38,4.38,5200
ctc,5.28,5.28,5.03,5.03,26100
ctd,17.32,17.32,16.87,16.87,7320
ctg,11.57,11.57,11.32,11.32,392620
cti,11.17,11.24,10.37,11.17,69080
cts,3.73,3.91,3.73,3.91,51200
cvn,20.0,22.7,19.9,19.9,57000
cvt,1.66,1.71,1.66,1.72,7100
d2d,10.04,10.26,9.99,10.09,4930
dad,2.62,2.7,2.62,2.7,2900
dae,3.54,3.54,3.54,3.54,10000
dag,2.61,2.65,2.49,2.49,36560
dbc,7.74,7.84,7.44,7.54,171000
dc2,5.42,5.42,5.42,5.42,100
dcl,4.08,4.08,4.08,4.08,5390
dcs,7.0,7.2,6.6,6.6,234600
dha,6.69,6.86,6.69,6.74,4750
dhc,3.91,3.91,3.79,3.79,16210
dhg,26.91,26.91,26.12,26.13,10250
dht,6.93,7.77,6.93,7.56,12700
dic,5.51,5.69,5.51,5.51,42150
did,7.16,7.25,7.16,7.16,9000
dig,8.36,8.36,8.0,8.28,126190
dlg,17.46,17.46,16.69,16.94,4660
dlr,15.91,15.91,15.91,15.91,9000
dmc,8.93,8.93,8.89,8.89,8660
dnp,1.15,1.21,1.15,1.16,33900
dpm,15.16,15.2,14.88,14.92,125500
dpr,23.81,23.81,23.81,23.81,10
dqc,6.85,6.89,6.64,6.64,121700
drc,5.45,5.45,5.34,5.36,26900
drh,4.0,4.17,4.0,4.17,108520
dsn,7.26,7.26,7.26,7.26,300
dta,5.8,5.8,5.4,5.8,5910
dtl,14.58,14.58,14.41,14.41,25000
dtt,5.11,5.11,5.03,5.03,5920
dvp,10.9,10.9,10.72,10.72,1260
dxg,5.61,5.61,5.36,5.54,15810
dxv,4.77,4.86,4.69,4.77,9040
dzm,8.95,8.95,8.23,8.23,12400
ebs,3.15,3.15,3.05,3.05,39700
eci,3.28,3.28,3.28,3.28,2000
eib,10.5,10.5,9.9,9.97,1424890
eid,3.41,3.41,3.32,3.32,26800
elc,13.12,13.4,13.12,13.4,1510
eve,10.74,10.74,10.74,10.74,40
fdc,14.12,15.1,14.12,15.1,1600
flc,7.82,7.82,7.82,7.82,5000
fmc,2.3,2.3,2.2,2.22,12270
fpt,13.09,13.17,13.06,13.07,305380
gdt,5.19,5.19,5.19,5.19,130
gil,10.0,10.07,9.86,9.86,66240
gmc,5.24,5.24,5.24,5.23,2020
gmd,9.97,9.97,9.84,9.84,12470
gmx,5.38,5.38,5.34,5.34,1100
hag,21.05,21.12,20.91,21.12,168960
hai,5.75,5.75,5.69,5.72,610
hap,2.42,2.42,2.37,2.42,73030
has,4.59,4.68,4.59,4.59,7020
hax,2.36,2.48,2.36,2.44,310
hbs,14.5,14.6,13.9,13.9,633900
hcc,3.15,3.37,3.15,3.25,5900
hcm,8.37,8.42,8.12,8.12,57940
hda,3.65,3.92,3.65,3.65,700
hdc,6.83,6.83,6.83,6.83,1500
hdg,5.98,5.98,5.87,5.87,30930
hdo,8.76,8.76,7.82,7.91,89600
hev,3.85,3.85,3.85,3.85,1000
hgm,30.09,31.02,28.85,28.84,2100
hhg,2.84,3.13,2.84,3.13,1300
hjs,3.34,3.39,3.24,3.23,23600
hlg,10.91,11.09,10.55,10.74,49140
hly,12.62,12.62,12.62,12.62,3500
hmc,4.89,5.04,4.89,4.94,470
hmh,4.29,4.35,4.29,4.35,800
hnm,4.82,4.82,4.82,4.82,1300
hom,2.51,2.51,2.46,2.46,8300
hpg,3.94,3.94,3.9,3.9,215580
hqc,5.46,5.51,5.32,5.32,690530
hrc,27.4,27.64,27.4,27.64,4020
hsg,1.68,1.7,1.66,1.66,127230
ht1,2.9,2.9,2.76,2.9,54740
hti,3.69,3.69,3.59,3.69,2020
htv,4.26,4.26,4.26,4.26,17400
hu3,3.92,4.16,3.89,4.15,810
hut,5.06,5.06,4.86,4.86,71400
hvg,5.81,6.1,5.81,6.02,187150
hvt,3.06,3.21,3.06,3.21,400
hvx,3.29,3.38,3.29,3.38,5500
icf,5.5,5.7,5.5,5.7,7200
icg,10.87,10.87,10.46,10.62,125200
idi,4.27,4.31,4.23,4.32,111870
idj,5.2,5.3,4.9,5.0,285700
ijc,6.5,6.5,6.14,6.13,1041360
imp,14.99,14.99,14.99,14.99,10
ita,6.57,6.64,6.36,6.36,620080
itc,10.9,10.9,10.44,10.54,155740
itd,4.77,4.77,4.77,4.77,100
jvc,11.17,11.17,10.78,10.77,7590
kac,12.81,13.45,12.81,13.13,16710
kbc,14.9,14.9,14.6,14.8,59570
kdc,9.74,10.04,9.74,10.04,156020
kdh,14.85,14.9,14.66,14.76,70310
kha,5.35,5.35,5.3,5.3,45930
khb,10.64,11.36,10.64,10.91,412100
khp,3.67,3.67,3.67,3.67,16320
kkc,4.66,4.66,4.66,4.66,1000
kmr,3.44,3.58,3.36,3.43,46940
kmt,4.15,4.15,4.15,4.15,700
ksa,9.76,9.93,9.51,9.51,57060
ksd,5.2,5.2,4.9,5.0,3200
ksh,19.87,19.87,19.87,19.86,300
ktt,3.6,3.6,3.6,3.6,23600
l10,4.23,4.23,4.13,4.13,1040
l18,4.18,4.3,4.05,4.3,17500
l35,2.6,2.6,2.6,2.61,100
laf,16.6,16.9,16.5,16.5,99920
lbe,3.21,3.21,3.21,3.21,2000
lbm,3.7,3.7,3.65,3.7,3980
lcg,10.39,10.39,9.98,9.98,418980
lcm,23.74,23.74,23.22,23.22,18980
lcs,9.9,9.98,9.31,9.68,187900
lgc,7.73,7.73,7.59,7.59,150
lhc,5.53,5.53,5.53,5.53,1000
lig,4.63,4.63,4.58,4.63,21000
lix,5.9,5.9,5.41,5.41,44760
lm8,4.63,4.72,4.49,4.49,710
lo5,3.4,3.4,3.4,3.39,2600
lss,14.12,14.45,14.12,14.25,11860
ltc,5.74,5.74,5.35,5.35,3400
lut,11.4,11.4,11.1,11.2,52300
mac,2.65,2.72,2.65,2.71,187400
mcc,6.84,6.84,6.84,6.84,500
mcg,9.9,9.9,9.5,9.5,28910
mcp,6.18,6.23,6.03,6.23,13920
mdc,3.25,3.25,3.25,3.25,1000
mdg,4.03,4.03,3.97,3.97,16800
mec,5.61,5.61,5.21,5.29,4100
mhc,1.37,1.37,1.37,1.36,40
mhl,10.44,10.44,10.44,10.44,100
