ticker,open,high,low,close,volume
aaa,20.6,20.9,20.0,7.88,928000
aam,8.34,8.34,8.22,8.22,4770
abt,30.65,30.65,30.34,30.65,1310
acb,8.1,8.15,8.1,8.1,89719
acc,17.66,17.66,17.66,17.66,400
acl,8.71,8.71,8.12,8.11,8540
adc,9.14,9.18,9.14,9.18,1000
agf,15.51,15.51,15.51,15.51,2040
agr,6.8,7.0,6.7,6.8,1419380
alp,4.3,4.3,4.1,4.1,6670
alt,7.92,8.66,7.92,8.66,200
alv,5.09,5.09,4.9,5.09,1300
ame,2.78,2.85,2.78,2.85,200
amv,3.32,3.45,3.32,3.38,10500
anv,3.73,3.73,3.69,3.69,32620
apc,11.84,12.76,11.84,12.76,1010
apg,5.7,5.79,5.52,5.7,66800
app,7.59,7.59,7.59,7.59,4010
aps,5.9,6.1,5.9,5.9,795500
asa,16.81,17.1,16.81,16.81,92800
asm,7.6,7.73,7.47,7.6,1450160
asp,5.81,5.97,5.81,5.97,215080
avf,4.8,4.9,4.7,4.8,1679330
b82,7.78,7.78,6.78,7.37,1000
bbc,53.58,53.58,51.72,52.19,4800
bbs,10.19,11.27,10.19,11.27,700
bcc,6.35,6.43,6.2,6.35,74205
bce,5.79,5.85,5.79,5.85,79070
bci,14.38,15.0,14.38,14.69,84250
bed,9.87,9.87,9.87,9.87,700
bgm,4.8,4.8,4.6,4.7,352750
bhs,8.01,8.08,8.01,8.08,9980
bht,4.94,4.94,4.94,4.94,100
bic,9.93,10.19,9.93,10.02,359040
bid,11.7,11.79,11.54,11.79,475540
bmc,20.87,21.49,20.87,21.28,41230
bmi,10.89,11.02,10.69,10.68,221160
bmp,29.31,29.52,29.31,29.53,24970
bpc,7.49,7.49,7.49,7.49,1600
brc,6.84,7.17,6.51,6.77,3280
bsi,5.74,5.81,5.67,5.74,200820
bt6,6.3,6.3,6.3,6.3,4320
bth,4.7,5.7,4.7,5.2,25600
btp,7.88,7.88,7.82,7.81,69320
bts,5.2,5.3,5.2,5.3,10300
btt,21.94,22.43,21.94,22.43,30
btw,13.26,13.26,13.26,13.27,5800
bvh,39.5,39.97,39.5,39.78,93920
bvs,12.34,12.89,12.34,12.43,1493831
c32,17.98,17.98,17.76,17.76,42870
c47,9.47,9.81,9.47,9.7,9860
cad,1.9,1.9,1.8,1.9,8400
cap,9.58,9.58,9.54,9.57,1100
cci,6.78,6.78,6.78,6.78,10
ccl,4.79,5.07,4.79,5.06,1473420
ccm,10.72,10.72,10.72,10.72,100
cdc,5.02,5.28,4.95,5.22,370340
chp,6.99,7.05,6.99,6.99,44900
cig,3.2,3.5,3.2,3.3,6430
cii,17.96,18.12,17.88,17.88,3863680
clc,13.51,13.6,13.51,13.61,6010
clg,7.7,7.8,7.5,7.5,60990
cll,24.27,24.34,24.21,24.34,241440
clw,12.83,12.83,12.52,12.51,1700
cmg,5.57,5.57,5.49,5.57,63610
cmi,15.67,15.76,15.48,15.48,121900
cms,7.52,7.59,7.39,7.52,31600
cmx,6.8,7.2,6.8,7.1,251710
cng,24.1,25.06,24.1,24.81,285260
cpc,14.58,14.58,13.22,14.52,14500
csc,3.12,3.12,3.01,3.01,2900
csm,20.65,20.94,20.56,20.6,472230
ct6,5.6,5.6,5.6,5.6,200
cta,3.7,3.9,3.7,3.9,1100
ctb,11.93,11.93,11.93,11.93,100
ctc,6.5,6.5,6.23,6.23,300
ctd,37.95,39.23,37.95,38.27,10040
ctg,12.78,12.87,12.69,12.78,211340
cti,9.02,9.02,9.02,9.03,300
ctm,3.0,3.1,3.0,3.1,300
ctn,7.12,7.22,7.12,7.21,3500
cts,6.53,6.6,6.46,6.53,301620
ctx,2.2,2.2,2.2,2.2,600
cvn,3.0,3.0,2.8,2.8,36000
cvt,4.81,5.06,4.81,5.0,146000
d2d,10.22,10.29,10.22,10.22,17540
dad,10.17,10.17,10.11,10.17,15000
dae,11.22,11.22,11.22,11.22,100
dbc,14.15,14.27,14.09,14.15,177500
dbt,11.17,12.02,11.17,12.03,21350
dcl,7.41,7.54,7.36,7.54,34770
dcs,6.1,6.2,6.0,6.0,957426
dct,2.7,2.7,2.6,2.6,102200
dha,7.7,7.84,7.63,7.77,93940
dhc,6.98,7.36,6.98,7.15,478840
dhg,53.8,53.8,53.52,53.52,10500
dhm,6.82,6.82,6.63,6.64,392490
dhp,5.51,5.76,5.51,5.76,25100
dht,6.65,7.05,6.45,6.61,5600
dic,7.27,7.36,7.18,7.18,157080
did,5.0,5.0,5.0,5.0,2200
dig,9.16,9.16,9.02,9.09,102860
dl1,3.71,3.71,3.55,3.55,24050
dlg,10.07,10.25,9.98,9.98,1099950
dmc,28.75,28.75,28.22,28.29,73430
dnc,6.02,6.02,6.02,6.02,100
dnm,23.53,24.62,23.53,24.62,4800
dnp,2.06,2.06,2.06,2.06,200
dpm,17.86,18.47,17.86,18.16,2315610
dpr,20.95,20.95,20.85,20.84,3210
dqc,23.02,23.53,22.77,23.07,51740
drc,27.68,28.72,27.68,28.46,198150
drh,3.66,3.66,3.41,3.41,197810
drl,19.94,19.94,19.94,19.94,9000
dsn,25.87,25.87,25.65,25.87,4710
dst,3.01,3.01,3.01,3.01,54000
dta,3.5,3.5,3.5,3.5,530
dtc,3.2,3.2,3.2,3.2,100
dtl,9.1,9.5,9.1,9.5,1030
dvp,29.85,29.85,29.85,29.86,100
dxg,5.63,5.78,5.63,5.66,764600
dxp,11.03,11.03,11.0,11.01,1250
dxv,4.15,4.24,4.15,4.24,10750
dzm,3.92,4.17,3.92,4.17,310
ebs,5.09,5.15,5.09,5.16,193600
eci,12.57,13.33,12.57,13.26,400
efi,6.4,6.5,6.3,6.3,219200
eib,12.7,12.8,12.6,12.6,282320
eid,7.82,7.95,7.82,7.88,7600
eve,13.83,13.83,13.78,13.78,510
fcm,9.07,9.07,8.86,8.86,598360
fcn,15.06,15.06,14.93,14.93,536640
fdc,18.08,18.08,17.08,17.22,61180
fit,7.38,7.49,7.38,7.49,1558913
flc,9.39,9.39,8.96,9.03,23320740
fmc,6.3,6.59,6.27,6.45,130880
fpt,21.79,22.0,21.58,21.58,1643270
gas,87.77,90.02,87.77,88.52,1012490
gdt,11.25,11.34,11.25,11.29,22430
ggg,1.9,1.9,1.7,1.8,1051638
gil,8.67,8.67,8.56,8.56,19000
glt,12.43,12.5,12.36,12.5,14900
gmc,14.65,14.8,14.65,14.8,10600
gmd,16.39,16.61,16.35,16.35,416180
gsp,8.06,8.33,7.99,8.26,263730
gta,7.45,7.8,7.45,7.8,6360
gtt,4.8,4.9,4.7,4.8,402290
had,20.04,20.09,20.04,20.09,2000
hag,22.91,23.09,22.82,23.0,4254230
hai,8.32,8.32,8.01,8.0,150
hap,5.06,5.06,4.95,4.95,342100
har,9.08,9.36,9.08,9.07,1062560
has,4.86,4.94,4.77,4.94,4160
hat,35.66,39.71,35.66,39.72,200
hax,2.63,2.88,2.63,2.88,460
hbc,3.81,3.83,3.76,3.76,139310
hbe,4.66,4.66,4.66,4.66,100
hbs,5.2,5.3,5.2,5.3,5100
hcm,13.67,14.17,13.67,13.9,1695420
hct,9.59,10.89,9.59,10.89,400
hda,7.64,7.64,7.64,7.64,200
hdc,8.34,8.34,8.34,8.34,50
hdg,14.15,14.41,14.05,14.15,74020
hdo,3.6,3.6,3.5,3.6,54800
hev,8.17,8.17,8.17,8.17,100
hhc,16.72,18.51,16.6,18.51,1407
hhg,2.95,3.02,2.95,2.95,67000
hhs,10.35,10.41,10.18,10.3,867700
hjs,6.54,6.6,6.54,6.6,27200
hla,2.6,2.6,2.4,2.5,156000
hld,7.4,7.44,7.36,7.45,118500
hlg,4.6,4.9,4.6,4.9,530
hmc,5.21,5.21,5.1,5.1,210
hmh,13.07,13.07,12.97,13.07,20200
hnm,11.03,11.23,10.93,11.22,53170
