symbol,open,high,low,close,volume
agf,9.38,9.38,9.32,9.32,3810
bbc,7.36,7.41,7.36,7.41,19000
bpc,4.71,4.74,4.71,4.74,4670
can,6.95,7.0,6.95,7.0,10
dha,4.97,4.97,4.97,4.97,900
dpc,4.16,4.16,4.16,4.16,10
gil,3.69,3.69,3.69,3.69,2600
gmd,8.27,8.27,8.27,8.27,6710
hap,4.49,4.49,4.43,4.43,450
has,5.12,5.12,5.12,5.12,2300
kha,4.95,4.95,4.95,4.95,1250
laf,13.48,13.48,13.48,13.48,9930
mhc,5.08,5.11,5.08,5.11,55740
pms,4.14,4.14,4.14,4.14,8200
ree,2.6,2.6,2.6,2.6,26840
sam,3.43,3.43,3.43,3.43,620
sav,11.51,11.51,11.47,11.47,400
sfc,1.86,1.86,1.86,1.86,2850
sgh,,,,2.55,0
ssc,8.75,8.75,8.72,8.72,4700
tms,7.63,7.63,7.53,7.53,7060
ts4,3.21,3.21,3.14,3.14,440
vtc,13.57,13.57,13.45,13.44,7710
