ticker,open,high,low,close,volume
abt,4.5,4.52,4.5,4.5,32130
acb,12.0,12.0,11.88,11.88,408000
acl,6.16,6.44,6.13,6.35,38130
agc,16.1,16.1,14.1,14.3,19100
agf,5.37,5.6,5.37,5.6,33110
alp,6.5,6.57,6.5,6.5,14430
alt,11.37,11.37,10.67,10.68,340
anv,4.76,4.79,4.76,4.76,10880
asp,4.9,4.96,4.84,4.9,29360
b82,3.27,3.27,3.27,3.27,500
bas,7.9,7.9,7.9,7.9,20
bbc,9.59,9.65,9.45,9.45,21620
bbs,3.72,3.72,3.61,3.61,1200
bbt,4.8,4.8,4.8,4.8,10650
bcc,6.8,6.8,6.68,6.67,25800
bhs,3.05,3.05,2.96,3.02,2710
bhv,14.78,14.78,14.22,14.71,2600
blf,4.24,4.24,4.09,4.19,10200
bmc,19.37,19.52,19.37,19.38,15700
bmi,7.29,7.29,7.2,7.2,3010
bmp,3.99,3.99,3.88,3.9,8500
bpc,3.76,3.76,3.64,3.76,7210
bst,4.62,4.62,4.62,4.62,0
bt6,14.67,15.84,14.67,15.84,730
btc,12.81,12.81,12.81,12.81,750
bth,6.41,6.48,6.41,6.49,200
bts,9.13,9.13,8.97,8.97,9400
bvs,12.9,12.96,12.78,12.84,58800
c92,3.61,3.61,3.17,3.17,600
cad,11.72,11.72,11.72,11.73,100
can,5.9,6.08,5.9,6.08,30
cap,1.01,1.01,1.01,1.01,500
ccm,16.14,16.14,15.95,16.01,1200
cdc,6.76,6.83,6.76,6.8,6600
cic,5.32,5.32,5.25,5.25,200
cid,6.38,6.38,6.38,6.39,0
cii,7.1,7.45,7.1,7.23,71020
cjc,6.42,6.42,6.42,6.43,0
clc,3.83,3.86,3.83,3.86,2050
cmc,6.48,6.63,6.48,6.48,23200
cnt,8.53,8.85,8.53,8.85,2470
com,10.07,10.65,10.07,10.65,1010
csg,6.75,6.75,6.75,6.74,13300
ctb,2.76,2.76,2.76,2.76,0
ctc,3.87,3.87,3.87,3.88,100
ctn,5.78,5.88,5.73,5.78,4700
cyc,9.5,9.5,9.5,9.5,100
dac,19.54,19.54,18.82,18.97,2400
dae,3.19,3.21,3.19,3.22,0
dbc,6.28,6.28,6.17,6.17,11300
dc4,3.35,3.35,3.3,3.35,10200
dcc,9.19,9.19,9.19,9.19,2200
dcl,6.69,6.93,6.69,6.93,32690
dcs,4.2,4.2,4.08,4.07,300
dct,6.28,6.28,6.05,6.06,5250
ddm,10.15,10.42,9.96,9.96,12760
dha,5.19,5.19,5.19,5.19,1100
dhg,12.45,12.45,12.23,12.45,3310
dhi,9.15,9.15,9.06,9.06,1600
dht,3.1,3.1,2.96,2.96,2200
dic,5.35,5.35,5.19,5.29,38170
dmc,12.17,12.17,12.17,12.17,280
dnp,0.73,0.77,0.73,0.76,1650
dpc,5.11,5.32,5.11,5.32,0
dpm,13.56,13.56,13.44,13.12,78950
dpr,11.39,11.89,11.39,11.66,12520
dqc,4.1,4.16,3.96,4.05,51700
drc,1.37,1.37,1.35,1.37,3690
