symbol,open,high,low,close,volume
agf,12.84,12.9,12.84,12.9,64250
agf,,,,12.9,0
bbc,10.1,10.1,10.1,10.11,22140
bbc,,,,10.11,0
bpc,4.8,4.8,4.8,4.8,5580
bpc,,,,4.8,0
can,8.36,8.41,8.36,8.41,650
can,,,,8.41,0
dha,7.06,7.11,7.06,7.11,13680
dha,,,,7.11,0
dpc,6.31,6.31,6.16,6.16,2990
dpc,,,,6.16,0
gil,5.74,5.76,5.74,5.76,3680
gil,,,,5.76,0
gmd,11.48,11.48,11.48,11.48,15100
gmd,,,,11.48,0
hap,4.62,4.62,4.62,4.62,4020
hap,,,,4.62,0
has,6.31,6.67,6.31,6.67,7090
has,,,,6.67,0
kha,5.07,5.07,5.01,5.01,5020
kha,,,,5.01,0
khp,2.84,2.84,2.84,2.84,2800
khp,,,,2.84,0
laf,18.43,18.43,18.39,18.38,22400
laf,,,,18.38,0
mhc,6.38,6.38,6.25,6.25,10040
mhc,,,,6.25,0
pms,4.65,4.65,4.65,4.65,4190
pms,,,,4.65,0
pnc,8.18,8.18,8.18,8.18,10
pnc,,,,8.18,0
ree,3.46,3.48,3.46,3.48,34100
ree,,,,3.48,0
sam,4.33,4.33,4.28,4.29,11250
sam,,,,4.29,0
sav,12.16,12.16,12.08,12.08,17040
sav,,,,12.08,0
sfc,2.31,2.31,2.31,2.31,9250
sfc,,,,2.31,0
sgh,3.23,3.23,3.21,3.21,3410
sgh,,,,3.21,0
ssc,11.37,11.37,11.37,11.37,11130
ssc,,,,11.37,0
tms,10.59,10.71,10.59,10.71,18400
tms,,,,10.71,0
tna,4.72,4.72,4.72,4.72,1050
tna,,,,4.72,0
ts4,4.13,4.15,4.13,4.14,8480
ts4,,,,4.14,0
vsh,3.38,3.38,3.38,3.38,4700
vsh,,,,3.38,0
vtc,13.48,13.65,13.48,13.65,2010
vtc,,,,13.65,0
