ticker,open,high,low,close,volume
abt,6.93,7.31,6.91,6.82,61440
acb,14.82,15.56,14.47,14.55,6205600
acl,7.42,7.61,7.07,7.07,47790
agc,12.5,12.5,11.2,11.2,17500
agf,7.15,7.15,6.96,7.11,483220
alp,6.91,7.11,6.77,6.91,58000
alt,11.09,11.09,10.44,10.44,3190
anv,4.79,5.11,4.68,4.68,524580
asp,5.5,5.62,5.44,5.62,421660
b82,3.18,3.2,3.13,3.15,6600
bas,9.4,9.4,9.4,9.4,1090
bbc,11.57,12.24,11.42,11.5,140860
bbs,4.2,4.2,3.94,3.94,700
bbt,4.5,4.5,4.5,4.5,10480
bcc,7.81,7.81,7.28,7.35,1254200
bci,10.44,10.84,10.39,10.39,255470
bhs,3.26,3.28,3.22,3.22,59130
bhv,18.84,19.39,18.06,18.06,2500
blf,4.14,4.48,4.05,4.19,120700
bmc,18.78,19.82,18.78,18.78,92570
bmi,8.58,9.01,8.15,8.36,90960
bmp,4.43,4.51,4.3,4.3,72220
bpc,4.11,4.15,4.03,4.03,12660
bst,5.26,5.26,5.26,5.26,0
bt6,14.15,14.15,13.89,13.89,190
btc,11.83,12.76,11.83,12.75,1510
bth,,,,,0
bts,8.17,8.25,7.77,7.93,472700
bvs,17.22,17.22,16.5,17.22,2074200
c92,4.1,4.1,4.1,4.1,2000
cad,8.19,8.55,8.19,8.18,31980
can,6.82,7.12,6.82,6.81,66070
cap,,,,,0
ccm,15.95,15.95,15.1,15.96,71900
cdc,8.71,8.71,7.88,7.99,63700
cic,6.17,6.17,5.51,5.51,6400
cid,6.8,6.8,6.04,6.04,8100
cii,8.28,8.95,8.22,8.56,258510
cjc,5.99,5.99,5.99,5.99,100
clc,4.25,4.38,4.25,4.25,18330
cmc,6.1,6.1,5.64,5.64,88900
cnt,10.43,10.43,9.96,9.95,109380
com,11.48,11.89,11.16,11.89,5650
csg,6.98,6.98,6.5,6.59,136400
ctb,3.16,3.16,3.16,3.16,0
ctc,3.67,3.67,3.67,3.68,1000
