symbol,open,high,low,close,volume
agf,21.55,21.55,21.55,21.55,24410
bbc,20.96,20.96,20.77,20.76,58200
bbs,7.01,7.01,6.73,6.83,9400
bpc,10.89,10.89,10.45,10.45,48560
can,18.09,18.09,17.89,17.88,11130
dha,14.91,14.91,14.57,14.56,19070
dpc,14.28,14.85,14.28,14.86,22750
dxp,1.99,1.99,1.92,1.95,7000
gil,9.17,9.26,9.17,9.26,18180
gmd,23.36,23.94,23.36,23.94,222330
hap,12.06,12.17,12.06,12.17,33060
has,15.27,15.27,15.05,15.05,19020
htv,8.9,8.9,8.77,8.77,57650
kdc,8.23,8.23,8.23,8.23,28030
kha,7.82,7.82,7.66,7.66,51600
khp,6.21,6.23,6.1,6.14,31400
laf,10.76,10.76,10.76,10.76,42350
mhc,13.28,13.35,13.28,13.35,42480
nhc,5.43,5.8,5.43,5.8,3160
pms,12.9,13.27,12.9,13.27,37170
pnc,19.91,19.91,18.61,18.61,5540
ree,9.82,9.82,9.82,9.82,85830
sam,10.07,10.07,9.96,9.96,90230
sav,22.35,22.35,21.55,21.55,40560
sfc,4.56,4.65,4.56,4.65,25430
sgh,7.33,7.33,7.33,7.33,6170
ssc,16.75,17.0,16.75,17.0,9450
