ticker,open,high,low,close,volume
acb,18.13,19.51,18.13,19.51,24200
agf,33.95,33.95,33.95,33.95,13810
alt,16.86,16.86,16.86,16.86,5800
bbc,20.16,20.16,20.1,20.16,23970
bbs,4.05,4.11,3.96,4.05,0
bbt,12.5,12.5,12.5,12.5,34710
bcc,10.41,10.98,10.41,10.92,213200
bhv,8.1,8.1,8.1,8.1,0
bmi,21.21,21.52,19.62,21.52,13500
bmp,12.32,12.32,12.32,12.32,93410
bpc,7.47,7.47,7.31,7.31,26610
bt6,13.36,13.59,13.36,13.59,46310
btc,6.38,6.38,6.26,6.26,15530
bts,18.69,18.69,17.93,17.93,32700
can,12.77,12.77,12.77,12.78,14550
cid,5.72,5.72,5.72,5.72,100
cii,9.28,9.85,9.28,9.85,324020
clc,8.8,9.13,8.38,9.13,2110
com,7.91,7.91,7.91,7.91,6750
ctb,4.25,4.44,4.25,4.44,500
cyc,16.5,16.5,16.1,16.1,23290
dac,8.94,8.94,8.94,8.94,0
dct,15.51,15.51,15.34,15.34,65140
dha,13.16,13.79,13.16,13.79,39170
dhi,15.42,15.79,15.42,15.79,19300
dpc,8.75,9.07,8.75,9.06,13010
fmc,7.57,7.57,7.57,7.57,108700
fpc,22.0,22.32,22.0,22.32,19800
gha,10.09,10.09,10.09,10.1,100
gil,6.55,6.55,6.43,6.55,57050
gmd,42.64,42.64,42.64,42.64,236920
hap,7.25,7.25,7.25,7.24,35100
has,17.27,17.27,17.27,17.27,29950
hsc,39.7,39.7,39.7,39.7,0
htv,5.85,5.85,5.85,5.86,29450
ifs,41.0,42.0,41.0,42.0,51020
ilc,4.96,4.96,4.96,4.96,100
imp,19.0,20.87,19.0,20.86,216560
ita,13.86,13.86,13.86,13.85,352160
kdc,11.28,11.28,11.28,11.28,196310
kha,4.9,4.9,4.9,4.91,60000
khp,4.87,4.96,4.81,4.92,62900
laf,6.26,6.26,6.21,6.21,19510
mhc,8.66,8.69,8.55,8.55,28000
nhc,4.91,4.91,4.91,4.91,200
nkd,48.23,48.97,48.23,48.97,36360
pgc,9.18,9.18,9.18,9.18,56360
pms,9.45,9.45,9.29,9.29,9660
pnc,11.97,12.12,11.97,12.11,300
ppc,16.57,16.79,15.02,16.66,184100
prubf1,11.68,0.0,0.0,11.85,298808
pts,3.74,3.76,3.74,3.76,3400
pvd,25.2,25.2,25.2,25.2,24160
ral,32.49,34.0,32.49,34.0,88780
ree,13.25,13.25,13.25,12.58,69770
rhc,11.92,11.92,11.92,11.92,770
sam,21.73,21.73,21.73,21.73,26630
sav,17.59,18.01,17.59,18.01,22920
sfc,3.63,3.66,3.62,3.25,7500
sgc,8.02,8.06,8.02,8.06,12200
sgh,9.0,9.0,8.81,8.9,2730
shc,22.94,22.94,22.61,22.61,14030
sjs,17.97,18.87,17.97,18.87,4510
smc,5.43,5.46,5.43,5.45,39240
ssc,17.17,17.91,17.17,17.91,12190
stb,11.21,11.65,11.21,11.65,724950
stp,3.81,3.9,3.81,3.88,6000
tbc,9.7,9.74,9.62,9.63,42100
tct,3.77,3.77,3.77,3.76,38000
tku,14.35,14.35,14.17,14.35,10600
tms,14.12,14.55,14.12,14.55,11320
tna,2.75,2.75,2.74,2.74,300
tri,23.59,23.76,23.59,23.76,11520
ts4,6.18,6.18,6.04,6.19,7350
ttc,6.27,6.27,6.08,6.27,21160
ttp,40.75,40.75,40.75,40.75,49990
tya,27.95,27.95,27.68,27.95,45740
uni,4.3,4.36,4.3,4.36,8900
vfc,14.65,14.65,14.5,14.5,11520
vfmvf1,23.11,0.0,0.0,24.21,105491
vnindex,670.13,677.14,670.13,677.14,1594230
vnm,8.34,8.34,8.34,8.34,204350
vnr,6.19,6.27,6.19,6.27,2000
vsh,13.26,13.26,13.26,13.26,337650
vtc,17.62,17.88,17.62,17.62,5090
vtl,6.71,6.74,6.59,6.68,0
vts,5.96,5.96,5.96,5.96,100
