symbol,open,high,low,close,volume
aaa,26.68,26.87,26.5,26.59,213795
aam,9.77,10.49,9.77,9.82,230
abc,19.93,19.93,19.93,19.93,500
abi,20.78,20.78,19.82,20.77,2400
abt,41.61,41.61,40.17,40.17,410
acb,17.02,17.48,17.02,17.39,149865
acc,26.9,26.9,25.69,25.97,37330
ace,27.68,28.16,27.68,27.68,1900
acl,8.2,8.2,8.2,8.2,10
acm,1.7,1.9,1.7,1.8,548700
ads,17.61,17.89,17.61,17.89,171940
agf,8.31,8.8,8.31,8.8,310
agm,9.31,9.79,9.3,9.79,4940
agr,2.22,2.29,2.22,2.25,37090
alv,2.69,2.98,2.69,2.78,2200
amc,27.52,28.41,27.52,28.41,6200
amd,14.56,14.81,14.56,14.76,442720
amv,7.1,7.7,7.1,7.5,9900
anv,3.51,3.54,3.51,3.54,49000
apc,19.17,19.52,18.93,19.22,50190
apg,7.8,7.8,7.2,7.2,59600
api,8.5,8.5,8.5,8.5,700
aps,2.5,2.6,2.4,2.5,30000
arm,26.01,26.01,26.01,26.01,100
asa,1.9,1.9,1.9,1.9,600
asm,14.05,14.18,13.95,14.0,1094300
asp,3.88,3.99,3.8,3.88,49600
ata,1.0,1.14,1.0,1.14,150420
atg,13.05,13.3,13.05,13.1,214260
ats,8.7,9.5,8.7,9.5,85600
bbc,82.57,92.02,82.47,92.02,9160
bbs,15.6,15.6,15.6,15.6,100
bcc,14.9,15.1,14.9,15.1,101750
bce,5.31,5.31,5.31,5.31,49140
bcg,5.3,5.42,5.15,5.26,51500
bci,22.0,22.0,21.61,21.6,1000
bfc,32.83,33.57,32.83,33.48,130640
bgm,1.18,1.2,1.17,1.2,343350
bhn,142.36,158.56,123.8,125.66,82870
bhp,33.76,33.76,30.38,30.38,30730
bhs,11.68,11.98,11.68,11.83,650660
bic,34.88,35.86,34.88,35.86,16080
bid,15.41,15.41,15.21,15.31,1048200
bii,2.8,2.9,2.7,2.8,263000
bkc,6.3,6.3,6.3,6.3,100
blf,4.4,4.6,4.4,4.5,3000
bli,6.7,6.7,6.6,6.6,5300
bmc,13.63,14.01,12.78,14.02,11860
bmi,25.12,25.56,25.08,25.41,72070
bmp,108.76,109.79,108.76,109.3,8200
bpc,19.22,19.68,19.04,19.31,14820
brc,9.58,9.58,9.58,9.58,10
bsi,10.68,11.07,10.0,10.58,17350
bsp,41.93,44.21,41.93,44.22,47710
btc,35.0,35.0,35.0,35.0,3300
btp,12.05,12.14,11.91,12.15,33320
bts,8.5,9.5,8.5,9.5,1100
btt,35.45,35.45,35.45,35.45,130
bvh,63.7,65.67,62.42,63.4,220260
bvs,16.4,16.7,16.3,16.6,54400
c21,16.12,16.96,16.12,16.97,8758
c32,50.75,51.54,50.2,51.45,149960
c47,10.16,10.45,10.16,10.46,5330
c71,12.58,12.58,12.58,12.58,300
cap,30.16,31.42,30.16,31.43,363
cav,52.76,53.68,52.76,53.62,14390
cci,10.75,10.75,9.39,10.75,16970
ccl,2.8,2.85,2.73,2.83,107340
cdc,11.2,11.25,11.2,11.25,8100
cdn,26.23,26.23,26.23,26.24,200
cdo,33.6,33.65,33.5,33.6,504320
ceo,9.62,10.14,9.62,9.97,1538490
cfc,9.0,9.0,9.0,9.0,10000
cgp,9.1,10.4,9.1,9.1,1600
chp,18.84,19.21,18.84,18.93,5260
cig,2.47,2.47,2.46,2.47,1440
cii,27.42,28.0,27.42,27.9,904040
clc,57.06,57.34,55.65,56.11,8930
clg,3.98,4.05,3.98,4.05,4970
clh,13.04,13.4,11.33,13.4,9300
cll,24.38,24.38,24.38,24.37,390
cmc,5.1,5.1,5.1,5.1,300
cmi,8.0,8.3,8.0,8.3,30400
cms,4.8,5.0,4.6,5.0,24900
cmx,4.64,4.64,4.31,4.31,250
cnc,42.9,43.37,42.81,42.9,4020
cng,38.66,38.66,37.38,38.02,10000
cnt,2.5,2.5,2.5,2.5,3000
com,47.89,47.89,44.22,44.21,40
cpc,24.07,24.07,22.39,22.95,1900
csc,14.89,15.47,14.89,15.47,93700
csm,18.96,19.14,18.78,19.09,369190
csv,25.97,26.45,25.68,26.16,188820
ct6,3.92,3.92,3.92,3.92,25000
cta,1.7,1.7,1.6,1.6,52200
ctc,6.4,6.4,6.4,6.4,50
ctd,178.51,178.71,175.78,176.66,122920
ctg,15.22,15.41,15.22,15.36,669330
cti,26.76,27.8,26.76,27.75,533690
ctp,11.4,11.5,11.3,11.4,77500
cts,5.83,5.92,5.83,5.83,19962
ctt,6.4,6.4,6.4,6.4,110
ctx,16.0,16.0,16.0,16.0,11500
cvn,2.2,2.3,2.1,2.2,31800
cvt,29.37,29.93,28.88,29.86,335710
cyc,3.0,3.06,3.0,3.06,990
d11,9.35,9.35,9.35,9.35,10
d2d,38.49,38.58,37.91,38.49,35190
dad,16.03,16.03,16.03,16.03,100
dae,15.48,15.48,15.48,15.48,100
dag,13.8,13.94,13.8,13.85,121610
dah,7.3,7.31,7.0,7.25,497830
dbc,34.63,36.36,34.54,35.82,695240
dbt,15.45,16.4,15.45,15.53,600
dc2,5.5,5.9,5.4,5.9,7900
dc4,7.2,7.2,7.2,7.2,200
dcl,21.5,21.8,21.0,21.5,142940
dcm,10.22,10.31,10.22,10.32,175170
dcs,2.8,2.9,2.7,2.8,1376500
ddn,15.83,17.93,15.83,17.94,600
ddv,5.4,5.4,5.4,5.4,5000
dgc,43.5,44.9,43.5,44.1,34854
dgl,42.9,42.9,42.9,42.9,100
dgw,15.77,16.87,15.7,16.87,196220
dha,27.84,29.79,27.84,29.78,162340
dhc,32.42,32.72,32.42,32.68,21230
dhg,63.44,63.44,62.54,63.12,31830
dhm,14.6,14.9,14.4,14.6,500650
dhp,8.87,8.96,8.87,8.96,1800
dht,24.7,25.99,24.7,25.37,2100
dic,6.0,6.0,5.59,5.98,36500
dig,7.35,7.45,7.25,7.45,536230
dl1,7.68,7.73,7.68,7.73,9400
dlg,4.49,4.62,4.46,4.62,2697470
