symbol,open,high,low,close,volume
aaa,5.26,5.26,5.0,5.03,176500
aam,12.77,12.77,12.19,12.77,780
abi,2.2,2.2,2.1,2.1,21100
abt,17.31,18.2,17.31,18.2,600
acb,15.09,15.09,15.02,15.01,513200
acc,8.91,9.18,8.91,8.91,34360
acl,9.11,10.05,9.11,10.06,11270
adc,2.01,2.01,2.01,2.0,900
agf,7.53,7.53,7.44,7.44,4770
agr,6.37,6.7,6.37,6.36,4230
alt,7.66,7.66,7.66,7.66,100
alv,3.73,3.73,3.73,3.73,14400
ame,3.7,3.7,3.7,3.7,16200
amv,6.3,6.5,6.3,6.3,6100
anv,1.95,1.95,1.92,1.91,52450
apc,8.64,8.94,8.64,8.64,78050
apg,4.0,4.2,3.8,3.8,68400
api,4.0,4.0,3.9,3.9,85600
app,3.77,3.82,3.73,3.78,6200
aps,3.9,3.9,3.6,3.6,6200
arm,5.4,5.45,5.4,5.45,11000
asm,12.42,12.9,12.29,12.35,96770
asp,4.31,4.38,4.08,4.08,4460
ata,15.34,15.98,15.34,15.98,110
avf,9.39,9.39,9.39,9.39,2100
b82,5.36,5.36,5.36,5.36,100
bbc,8.74,9.41,8.74,9.41,14450
bbs,4.54,4.54,4.49,4.48,500
bcc,3.33,3.33,3.25,3.34,44600
bce,3.21,3.3,3.21,3.21,4370
bci,8.44,8.62,8.33,8.33,314460
bed,6.21,6.21,6.21,6.21,3000
bgm,6.96,7.05,6.96,6.96,146030
bhc,4.3,4.3,4.3,4.3,200
bhs,7.97,8.32,7.97,8.32,5650
bht,9.24,9.24,9.24,9.24,200
bkc,9.0,9.0,8.9,8.9,34600
blf,1.76,1.76,1.76,1.76,12000
bmc,8.05,8.13,8.05,8.05,45760
bmi,5.5,5.55,5.45,5.5,13400
bmp,9.16,10.01,9.13,9.25,42830
bpc,3.66,3.66,3.66,3.66,500
bsc,5.21,5.21,5.21,5.21,100
bsi,7.26,7.44,7.26,7.26,20670
bt6,7.56,7.56,7.56,7.55,1210
btp,2.51,2.51,2.44,2.44,11000
bts,4.21,4.21,4.21,4.21,2800
