symbol,open,high,low,close,volume
aaa,21.75,21.82,20.88,20.89,3514970
aam,9.31,9.35,9.08,9.1,1780
abc,,,,,0
abi,,,,,0
abt,38.76,39.66,38.48,39.52,330
ac4,,,,,0
acb,21.18,22.09,21.18,21.73,4063912
acc,21.9,21.9,21.9,21.9,6100
ace,,,,,0
acl,8.45,8.55,8.45,8.5,5300
acm,1.7,1.7,1.6,1.7,1783410
acv,,,,,0
adc,,,,14.22,0
adp,,,,,0
ads,17.97,18.4,17.97,18.01,343000
afx,,,,,0
agf,9.51,9.7,9.5,9.7,14130
agm,9.32,9.7,9.32,9.69,5120
agp,,,,,0
agr,3.53,3.66,3.53,3.57,581520
agx,,,,,0
alt,,,,16.21,0
alv,6.63,6.72,6.34,6.72,8152
amc,23.61,23.61,23.3,23.3,200
amd,13.3,13.75,13.1,13.7,276320
ame,,,,4.1,0
amp,,,,,0
ams,,,,,0
amv,17.0,17.5,16.5,17.5,24000
ant,,,,,0
anv,4.97,5.04,4.72,4.92,155690
apc,23.63,23.83,23.24,23.83,94870
apg,5.01,5.01,4.78,4.82,133420
api,24.0,24.8,23.2,24.8,27590
apl,,,,,0
app,,,,5.18,0
aps,3.1,3.2,3.0,3.1,171100
arm,33.68,33.68,33.68,33.68,5000
asa,1.8,1.9,1.8,1.9,63500
asd,,,,,0
asm,13.73,13.73,13.46,13.45,1358010
asp,4.55,4.75,4.26,4.36,41790
ata,,,,,0
atg,2.03,2.05,2.0,2.04,397910
ats,17.5,17.5,14.5,17.0,82000
aum,,,,,0
avf,,,,,0
b82,2.9,2.9,2.5,2.5,6535
bax,,,,18.44,0
bbc,101.98,101.98,99.11,99.21,250
bbs,12.9,12.9,12.07,12.07,5700
bcc,13.23,14.21,13.23,14.03,909923
bce,6.28,6.28,6.19,6.22,26630
bcg,6.8,6.8,6.5,6.51,752890
bci,25.0,25.0,24.5,24.5,1610
bcp,,,,,0
bdb,,,,8.33,0
bdf,,,,,0
bdg,,,,,0
bdp,,,,,0
bdw,,,,,0
bed,,,,35.86,0
bel,,,,,0
bfc,36.57,37.68,36.11,36.39,852680
bgm,,,,0.86,0
bhc,,,,,0
bhn,81.09,81.09,79.62,80.11,2880
bhp,,,,,0
bhs,19.7,19.75,18.55,18.6,3180910
bht,3.0,3.0,3.0,3.0,100
bhv,,,,,0
bic,38.0,39.0,38.0,39.0,2900
bid,16.48,16.53,16.19,16.38,3557650
bii,3.4,3.4,3.2,3.2,558300
bkc,5.6,6.0,5.6,6.0,1022
blf,4.0,4.3,4.0,4.3,10600
bli,,,,,0
bln,,,,,0
bmc,20.67,21.04,20.21,20.77,23450
bmi,24.84,25.97,24.84,25.92,8080
bmj,,,,,0
bmn,,,,,0
bmp,95.47,95.47,94.6,95.21,63560
bpc,16.01,16.84,16.01,16.84,1800
brc,10.13,10.22,10.13,10.22,9000
brs,,,,,0
bsc,,,,15.19,0
bsd,,,,,0
bsg,,,,,0
bsi,10.81,11.64,10.81,11.09,23530
bsp,,,,,0
bsq,,,,,0
bst,,,,10.96,0
bt1,,,,,0
bt6,,,,,0
btb,,,,,0
btc,,,,,0
btd,,,,,0
btg,,,,,0
btp,11.23,11.23,11.18,11.18,5600
btr,,,,,0
bts,7.9,7.9,7.9,7.9,5220
btt,,,,34.53,0
btu,,,,,0
btv,,,,,0
btw,,,,,0
bvg,,,,,0
bvh,56.32,56.42,55.83,56.03,336850
bvn,,,,,0
bvs,18.0,18.0,17.5,17.8,46750
bwa,,,,,0
bxh,14.03,14.03,14.03,14.03,16
c12,,,,,0
c21,,,,,0
c32,38.31,38.47,37.76,37.76,134310
c47,10.36,10.36,10.03,10.22,24700
c69,5.38,5.55,5.21,5.38,189400
c71,,,,,0
c92,8.3,8.3,8.3,8.3,100
cad,,,,,0
can,21.67,21.67,21.67,21.67,300
cap,30.16,30.43,29.8,30.43,2512
cav,51.98,51.98,51.23,51.42,105260
cci,13.35,13.35,13.35,13.35,30
ccl,3.2,3.31,3.14,3.14,333440
ccm,,,,21.03,0
ccp,,,,,0
ccr,,,,,0
ccv,,,,,0
cdc,12.92,13.23,12.26,12.44,120
cdg,,,,,0
cdh,,,,,0
cdn,17.29,17.97,17.21,17.21,6400
cdo,3.79,3.87,3.7,3.7,885020
ce1,,,,,0
cec,,,,,0
cee,27.47,27.47,26.94,27.47,2807600
ceo,11.28,11.54,10.84,10.84,4394700
cfc,,,,,0
cgp,,,,,0
chc,,,,,0
chp,21.09,21.45,21.0,21.0,165230
chs,,,,,0
ci5,,,,,0
cid,,,,,0
cig,2.79,2.79,2.44,2.79,8500
cii,38.9,39.2,38.4,39.1,1628810
cjc,,,,23.5,0
ckd,,,,,0
ckh,,,,,0
ckv,13.3,13.3,13.3,13.3,4300
clc,36.83,37.59,36.58,37.59,2380
clg,5.17,5.17,5.17,5.17,25310
clh,12.19,13.09,12.19,13.09,1500
cll,24.57,24.57,24.57,24.57,1200
clm,,,,13.86,0
clw,17.07,17.07,17.07,17.07,10
clx,,,,,0
cmc,6.1,6.1,6.1,6.1,800
cmf,,,,,0
cmg,13.69,13.97,13.69,13.69,160
cmi,3.9,4.0,3.8,4.0,100320
cmk,,,,,0
cmp,,,,,0
cms,5.7,5.8,5.7,5.8,1200
cmt,14.0,14.0,13.0,13.0,710
cmv,,,,19.99,0
cmw,,,,,0
cmx,4.17,4.17,3.86,4.1,1670
cnc,,,,,0
cng,30.49,31.15,30.4,30.97,9060
cnh,,,,,0
cnn,,,,,0
cnt,,,,,0
com,,,,56.72,0
cpc,23.6,23.6,23.6,23.6,210
cph,,,,,0
cqt,,,,,0
csc,27.54,27.54,27.35,27.35,15200
csm,16.89,16.89,16.65,16.65,204490
csv,27.13,27.58,26.6,27.41,224460
ct3,,,,,0
ct6,,,,5.05,0
cta,1.6,1.6,1.5,1.5,400
ctb,,,,25.4,0
ctc,,,,3.8,0
ctd,198.24,199.12,196.29,196.29,72810
ctg,17.31,17.55,17.06,17.16,815770
cti,28.94,29.24,28.45,28.46,234400
ctn,,,,,0
ctp,11.26,11.53,11.26,11.53,124200
cts,8.61,8.8,8.33,8.33,780964
ctt,6.6,6.6,6.6,6.6,600
ctw,,,,,0
ctx,17.0,17.0,17.0,17.0,3600
cvc,,,,,0
cvn,2.6,2.8,2.6,2.8,42085
cvt,28.82,29.08,27.93,28.14,656390
cx8,7.81,8.06,7.81,8.07,900
cxh,,,,,0
cyc,,,,,0
czc,,,,,0
d11,13.02,13.02,13.02,13.03,2300
d26,,,,,0
d2d,38.05,38.05,37.43,37.43,59180
dac,,,,,0
dad,15.91,15.91,15.37,15.92,600
dae,15.31,15.31,15.22,15.22,1100
dag,12.67,12.9,12.63,12.8,547120
dah,5.81,5.96,5.8,5.81,194540
dap,,,,,0
dar,,,,,0
das,,,,,0
dat,,,,20.17,0
dbc,26.88,26.88,26.4,26.69,186910
dbd,,,,,0
dbh,,,,,0
dbm,,,,,0
dbt,14.33,14.33,14.15,14.33,10380
dbw,,,,,0
dc1,,,,,0
dc2,5.89,5.89,5.79,5.8,8100
dc4,6.76,6.95,6.76,6.95,7100
dcd,,,,,0
dcf,,,,,0
dci,,,,,0
dcl,20.75,20.95,20.45,20.45,230530
