date,open,high,low,close,volume
2015-07-14,15.0,15.0,12.0,12.0,1500.0
2015-07-15,12.0,12.0,12.0,12.0,0.0
2015-07-16,12.0,12.0,12.0,12.0,0.0
2015-07-17,12.0,12.0,12.0,12.0,100.0
2015-07-20,12.0,12.0,12.0,12.0,0.0
2015-07-21,12.0,12.0,12.0,12.0,0.0
2015-07-22,12.0,12.0,12.0,12.0,0.0
2015-07-23,11.5,11.5,11.5,11.5,1000.0
2015-07-24,11.5,11.5,11.5,11.5,0.0
2015-07-27,11.0,11.0,11.0,11.0,2000.0
2015-07-28,10.0,10.0,10.0,10.0,1000.0
2015-07-29,10.0,10.0,10.0,10.0,0.0
2015-07-30,10.0,10.0,10.0,10.0,0.0
2015-07-31,10.0,10.0,10.0,10.0,0.0
2015-08-03,9.5,10.0,9.5,10.0,600.0
2015-08-04,9.5,10.0,9.5,10.0,2100.0
2015-08-05,9.5,9.8,9.5,9.8,500.0
2015-08-06,9.8,9.8,9.8,9.8,0.0
2015-08-07,9.8,9.8,9.8,9.8,0.0
2015-08-10,9.8,9.8,9.8,9.8,0.0
2015-08-11,9.8,9.8,9.8,9.8,0.0
2015-08-12,9.8,9.8,9.8,9.8,0.0
2015-08-13,9.8,9.8,9.8,9.8,0.0
2015-08-14,9.8,9.8,9.8,9.8,0.0
2015-08-17,9.8,9.8,9.8,9.8,0.0
2015-08-18,9.8,9.8,9.8,9.8,0.0
2015-08-19,9.8,9.8,9.8,9.8,0.0
2015-08-20,9.8,9.8,9.8,9.8,900.0
2015-08-21,9.8,9.8,9.8,9.8,0.0
2015-08-24,9.8,9.8,9.8,9.8,200.0
2015-08-25,9.5,9.5,9.5,9.5,1000.0
2015-08-26,9.5,9.5,9.5,9.5,0.0
2015-08-27,9.5,9.5,9.5,9.5,0.0
2015-08-28,9.0,9.0,8.9,8.9,4000.0
2015-08-31,8.9,8.9,8.9,8.9,0.0
2015-09-01,8.5,8.5,8.5,8.5,500.0
2015-09-03,8.5,8.5,8.5,8.5,0.0
2015-09-04,8.5,8.5,8.5,8.5,0.0
2015-09-07,8.5,8.5,8.5,8.5,1000.0
2015-09-08,8.4,8.7,8.4,8.7,3900.0
2015-09-09,8.7,8.7,8.7,8.7,0.0
2015-09-10,8.7,8.7,8.7,8.7,0.0
2015-09-11,7.9,7.9,7.9,7.9,5000.0
2015-09-14,7.9,7.9,7.9,7.9,0.0
2015-09-15,8.5,8.5,8.5,8.5,300.0
2015-09-16,8.5,8.5,8.5,8.5,0.0
2015-09-17,9.3,9.3,9.3,9.3,100.0
2015-09-18,9.3,9.3,9.3,9.3,0.0
2015-09-21,9.3,9.3,9.3,9.3,0.0
2015-09-22,9.3,9.3,9.3,9.3,1000.0
