date,open,high,low,close,volume
2015-06-23,24.0,24.0,18.4,18.4,3510
2015-06-24,19.0,19.6,17.5,17.5,5060
2015-06-25,18.6,18.7,18.0,18.7,2810
2015-06-26,19.1,19.1,17.5,17.5,8080
2015-06-29,16.5,16.5,16.4,16.4,2930
2015-06-30,16.4,16.4,15.6,15.6,7580
2015-07-01,16.6,16.6,16.6,16.6,100
2015-07-02,17.1,17.1,17.1,17.1,10
2015-07-03,17.5,17.5,16.8,16.8,7080
2015-07-06,16.8,16.8,16.8,16.8,0
2015-07-07,16.6,16.8,16.6,16.6,6570
2015-07-08,17.0,17.0,17.0,17.0,1000
2015-07-09,16.5,16.5,16.5,16.5,10
2015-07-10,16.5,16.6,16.5,16.5,5110
2015-07-13,16.5,17.1,16.0,17.0,6930
2015-07-14,16.1,17.0,16.1,17.0,420
2015-07-15,16.2,17.0,15.9,17.0,22010
2015-07-16,17.0,17.0,17.0,17.0,10
2015-07-17,16.0,17.5,16.0,17.5,1910
2015-07-20,17.5,17.5,17.5,17.5,10
2015-07-21,18.0,18.0,17.0,17.5,3560
2015-07-22,17.0,17.4,17.0,17.4,100
2015-07-23,17.4,17.4,17.4,17.4,0
2015-07-24,17.4,17.4,17.4,17.4,0
2015-07-27,17.4,17.4,17.4,17.4,0
2015-07-28,17.0,17.0,17.0,17.0,140
2015-07-29,17.0,17.0,17.0,17.0,0
2015-07-30,17.0,17.0,16.2,17.0,2810
2015-07-31,17.2,18.0,17.1,17.5,3210
2015-08-03,16.4,16.4,16.4,16.4,10
2015-08-04,17.0,17.0,15.6,15.6,40
2015-08-05,16.6,16.6,16.1,16.2,5910
2015-08-06,16.2,16.2,16.2,16.2,2560
2015-08-07,17.0,17.0,16.0,16.0,20
2015-08-10,16.7,16.8,16.7,16.8,5490
2015-08-11,16.8,17.0,16.8,16.8,1220
2015-08-12,17.0,17.2,17.0,17.0,550
2015-08-13,17.4,17.5,16.8,16.9,4270
2015-08-14,16.9,16.9,16.9,16.9,0
2015-08-17,16.8,16.8,16.8,16.8,500
2015-08-18,16.8,16.8,16.8,16.8,0
2015-08-19,16.8,16.8,16.8,16.8,0
2015-08-20,16.5,16.8,16.5,16.8,1300
2015-08-21,16.8,16.8,16.5,16.5,2500
2015-08-24,16.6,16.6,16.4,16.4,600
2015-08-25,16.4,16.4,16.4,16.4,500
2015-08-26,16.3,17.0,16.3,17.0,8310
2015-08-27,17.0,17.0,17.0,17.0,0
2015-08-28,16.8,16.8,16.8,16.8,1000
2015-08-31,16.8,16.8,16.8,16.8,3500
2015-09-01,17.2,17.5,16.9,16.9,6090
2015-09-03,16.5,16.5,16.5,16.5,10
2015-09-04,16.4,17.0,16.0,17.0,20350
2015-09-07,17.3,17.3,17.3,17.3,20
2015-09-08,17.3,17.3,17.2,17.2,180
2015-09-09,16.6,17.3,16.6,16.9,25770
2015-09-10,16.6,16.9,16.6,16.9,13820
