symbol,open,high,low,close,volume
agf,38.0,38.3,38.0,38.3,900.0
bbc,15.2,15.2,15.2,15.2,2050.0
bpc,20.2,20.3,20.2,20.3,900.0
bt6,31.8,31.8,31.6,31.6,2010.0
btc,15.1,15.1,15.1,15.1,500.0
can,15.5,15.5,15.5,15.5,900.0
dha,31.0,31.0,30.7,30.7,1350.0
dpc,9.7,9.9,9.7,9.9,150.0
gil,33.6,33.6,33.6,33.6,0.0
gmd,55.0,55.0,55.0,55.0,200.0
hap,36.5,36.5,36.5,36.5,2880.0
has,29.8,29.8,29.8,29.8,1520.0
kha,24.6,24.7,24.6,24.7,4350.0
laf,21.8,22.0,21.8,22.0,590.0
pms,15.9,15.9,15.9,15.9,110.0
ree,24.2,24.3,24.2,24.3,11330.0
sam,38.0,38.1,38.0,38.1,1800.0
sav,32.3,32.3,31.2,31.2,520.0
sgh,14.0,14.0,14.0,14.0,500.0
tms,33.0,33.1,33.0,33.1,600.0
ts4,16.4,16.4,16.4,16.4,0.0
vtc,39.4,39.4,39.1,39.1,10.0
