symbol,open,high,low,close,volume
bbs,17.5,17.5,17.5,17.5,3700
bpc,26.0,26.0,26.0,26.0,11580
cii,36.0,36.0,35.6,36.0,31200
dha,82.0,82.0,80.5,81.5,22780
dpc,18.9,18.9,18.5,18.5,3600
dxp,30.5,30.5,30.5,30.5,8200
gil,47.0,47.0,46.8,46.8,23020
gmd,73.5,73.5,72.5,73.0,64110
hap,45.0,45.0,43.1,43.1,25100
has,57.5,57.5,57.0,57.0,410
kha,30.5,30.5,30.0,30.0,11590
khp,24.1,24.1,23.9,24.0,10300
laf,23.8,23.8,23.6,23.6,31280
mhc,31.5,31.5,30.6,30.6,26010
ppc,29.5,29.5,28.2,28.6,84400
ree,84.5,84.5,83.5,84.5,214620
sam,93.5,93.5,91.5,91.5,45230
sav,46.5,46.5,45.3,46.3,16620
sfc,43.0,43.0,41.7,41.7,9880
ssc,62.5,62.5,61.0,61.0,10700
tna,41.8,42.0,41.8,42.0,380
ts4,37.3,37.3,37.3,37.3,1150
tya,49.0,49.0,48.0,48.0,43810
vnm,85.0,85.0,84.0,84.0,215160
vnr,40.0,40.0,40.0,40.0,100
vsh,37.0,37.0,36.1,36.4,125400
