symbol,open,high,low,close,volume
^dji,9612.87,9625.4,9491.86,9502.8,227630000
^ftse,4851.7,4882.8,4762.2,4771.9,1581595000
^gspc,1020.26,1023.47,1008.12,1009.56,1405500000
^hsi,11173.77,11191.49,11105.4,11119.33,161168400
^ixic,1512.23,1526.41,1495.64,1496.88,1566910000
^klse,750.93,753.39,750.25,753.39,37363000
^n225,11366.06,11396.28,11132.59,11144.84,464889200
^nya,5726.1,5726.1,5726.1,5726.1,1405500000
^sti,1654.06,1658.26,1633.73,1639.94,69390200
^vnindex,202.35,202.35,202.35,202.35,65700
agf,9.15,9.15,9.15,9.15,2700
bbc,9.96,9.96,9.96,9.96,19900
bpc,7.42,7.42,7.42,7.42,2000
bt6,4.91,4.91,4.91,4.91,2600
btc,14.02,14.02,14.02,14.03,100
dpc,9.86,9.86,9.86,9.85,100
gil,7.29,7.29,7.29,7.29,1000
gmd,8.19,8.19,8.19,8.19,400
hap,7.45,7.45,7.45,7.45,400
laf,8.91,8.91,8.91,8.9,300
ree,3.35,3.35,3.35,3.35,11300
sam,3.52,3.52,3.52,3.52,8200
sav,9.96,9.96,9.96,9.96,9100
sgh,3.5,3.5,3.5,3.49,3700
tms,11.79,11.79,11.79,11.79,3500
