symbol,open,high,low,close,volume
^dji,10021.71,10074.02,9935.7,10073.4,203990000
^ftse,5217.4,5261.9,5195.2,5218.3,630830000
^gspc,1148.08,1154.67,1136.23,1154.67,1171000000
^hsi,11368.13,11368.13,11241.63,11350.85,106074600
^ixic,1965.18,1979.26,1936.56,1979.25,1517670000
^jkse,387.31,387.31,381.02,383.46,19414000
^klse,695.2,695.2,681.5,682.83,21151600
^ks11,698.0,725.06,690.36,724.95,618800
^nya,6244.21,6244.21,6244.21,6244.21,1171000000
^sti,1622.31,1633.75,1606.09,1625.69,75970200
^vnindex,231.7,231.7,231.7,231.7,64310
bbc,12.22,12.22,12.22,12.22,3900
can,17.92,17.92,17.92,17.91,100
gil,6.16,6.16,6.16,6.16,8400
laf,13.76,13.76,13.76,13.77,1700
ree,3.29,3.29,3.29,3.29,1700
sam,4.14,4.14,4.14,4.14,1200
sgh,4.33,4.33,4.33,4.32,6100
tms,13.68,13.68,13.68,13.69,200
