symbol,open,high,low,close,volume
bpc,16.4,16.4,16.4,16.4,200
can,15.1,15.1,15.0,15.0,1210
dha,31.9,31.9,31.8,31.8,6000
dpc,8.9,8.9,8.9,8.9,820
gil,33.1,33.1,33.1,33.1,2590
gmd,52.5,52.5,52.5,52.5,2990
hap,23.4,23.5,23.4,23.5,4790
has,26.0,26.2,26.0,26.2,1850
kha,25.2,25.3,25.2,25.3,11090
laf,33.8,33.8,33.7,33.7,38780
ree,23.7,23.7,23.6,23.6,10840
sam,36.5,36.6,36.5,36.6,5160
sav,29.6,29.6,29.6,29.6,2080
sfc,19.0,19.0,19.0,19.0,1470
ssc,31.8,32.0,31.8,32.0,1500
tms,33.5,33.5,33.2,33.2,2000
ts4,18.0,18.0,17.4,17.4,10
