symbol,open,high,low,close,volume
qhd,25.95,26.15,25.95,26.16,600
qnc,5.4,5.9,5.4,5.9,5157
qtc,17.8,17.8,17.8,17.8,300
ral,49.17,50.57,49.17,50.57,2840
rcl,21.0,21.0,20.84,20.83,2200
rdp,15.36,15.42,14.92,15.42,35840
ree,19.83,19.91,19.59,19.68,444210
ric,11.5,11.5,11.3,11.3,760
s55,26.93,29.0,26.93,29.01,20300
s99,5.9,6.38,5.9,6.19,696601
sam,8.4,8.5,8.3,8.5,139220
sav,8.27,8.27,8.27,8.26,10
sba,7.85,8.03,7.77,7.94,33830
sbt,12.47,13.21,12.39,12.98,4612720
sc5,21.6,21.6,20.9,20.9,15500
scd,39.54,42.01,39.09,40.18,550
sci,9.83,9.83,9.83,9.83,3100
scj,8.5,8.5,8.5,8.5,11100
scl,7.4,8.0,7.4,7.4,25300
scr,7.81,8.29,7.71,8.19,11048725
sd2,6.0,6.0,5.9,6.0,54600
sd5,11.59,11.95,11.23,11.68,43100
sd6,11.34,11.34,11.34,11.34,64700
sd7,9.5,9.8,9.3,9.7,12700
sd9,11.61,11.61,11.43,11.43,69145
sda,7.9,7.9,7.9,7.9,160
sdd,2.2,2.3,2.2,2.2,14100
sdn,18.05,18.05,18.05,18.05,200
sdp,5.11,5.2,5.02,5.11,82800
sdt,10.94,10.94,10.94,10.94,4700
sdu,12.4,13.7,12.4,13.7,900
sed,16.07,16.32,16.07,16.32,1800
sfc,18.83,19.96,18.66,19.95,510
sfg,10.43,10.43,10.21,10.21,4160
sfi,28.57,28.57,27.94,28.03,55910
sgh,15.94,15.94,15.94,15.94,500
sgt,3.4,3.4,3.4,3.4,20
sha,11.16,11.25,10.89,10.89,439700
shb,6.33,6.33,6.24,6.23,386414
shi,13.71,14.23,13.45,14.22,3113270
shn,11.8,11.9,11.6,11.6,182810
shp,17.77,17.86,17.77,17.76,47220
shs,6.89,6.98,6.8,6.89,539600
sii,32.1,32.1,30.0,30.0,5520
sjc,4.0,4.2,4.0,4.2,4100
sjd,15.96,16.02,15.9,16.02,45470
sje,24.01,25.55,23.74,25.55,7800
sjs,22.31,22.8,22.31,22.6,134070
skg,43.67,45.17,43.67,45.17,163320
sls,41.35,41.75,40.71,41.35,23617
sma,5.43,5.63,5.43,5.63,12160
smc,6.28,6.28,6.28,6.28,5000
smt,21.05,22.35,19.5,21.06,1500
spi,2.6,2.8,2.5,2.8,1057100
spm,13.43,14.06,13.43,14.06,15080
spp,8.4,8.4,8.4,8.4,2000
src,17.28,17.58,17.09,17.4,23300
srf,8.58,8.58,8.41,8.41,260
ssc,41.84,42.4,39.05,39.05,130
ssi,22.25,22.54,22.16,22.16,1369320
ssm,9.44,10.0,8.96,9.44,47500
st8,11.04,11.04,10.94,10.99,1530
stb,12.6,12.7,12.5,12.5,265230
stc,23.77,23.77,22.18,23.51,2600
stg,8.31,8.31,8.31,8.32,60
stk,25.52,25.9,24.92,25.59,6310
svc,32.43,34.16,32.24,33.39,362100
svi,31.5,31.5,31.5,31.5,100
svn,3.9,3.9,3.9,3.9,100
szl,17.6,18.12,17.6,17.86,7120
ta9,11.94,13.2,11.94,13.2,3500
tac,20.67,22.62,20.67,22.62,160
tag,21.83,21.83,20.08,20.08,1000
tbc,20.86,20.86,20.86,20.87,1600
tc6,4.04,4.04,4.04,4.04,1000
tcl,28.38,29.1,28.29,29.11,44220
tcm,30.43,30.43,29.8,29.8,411500
tcr,5.26,5.55,5.26,5.55,7820
tcs,4.59,4.59,4.54,4.54,300
