symbol,open,high,low,close,volume
^aord,2922.5,2922.5,2893.0,2908.5,490425200
^dji,8494.09,8550.26,8416.72,8491.36,263620000
^ftse,3941.3,3985.0,3928.4,3971.6,2020430000
^gspc,920.77,925.34,912.05,919.73,1505300000
^hsi,8980.27,9068.98,8973.66,9050.4,149959600
^ixic,1498.05,1505.18,1480.13,1491.09,1699750000
^jkse,456.86,467.05,455.96,466.14,139489000
^klse,636.36,637.51,635.53,636.96,39697600
^ks11,585.86,602.09,584.62,602.08,421600
^n225,7986.81,8100.84,7962.37,8059.48,58800
^nya,5196.5,5227.09,5170.81,5204.9,1519400000
^ssmi,4475.1,4522.1,4432.3,4514.4,57228400
^sti,1285.12,1306.18,1283.88,1299.23,150052000
^twii,4202.62,4254.14,4194.22,4251.59,1486400
^vnindex,153.9,154.18,153.9,154.18,101970
agf,7.91,7.91,7.91,7.92,16400
bbc,5.08,5.13,5.08,5.12,13910
bpc,5.4,5.4,5.4,5.4,510
bt6,3.37,3.37,3.29,3.29,100
btc,10.67,10.67,10.44,10.43,200
can,8.08,8.08,8.08,8.07,1800
dpc,6.42,6.42,6.26,6.26,700
gil,3.97,4.0,3.97,4.0,3440
gmd,6.73,6.73,6.73,6.73,10290
hap,5.73,5.73,5.63,5.63,160
has,4.23,4.35,4.23,4.35,1530
kha,4.28,4.28,4.24,4.24,1220
laf,9.07,9.23,9.07,9.23,2210
ree,1.27,1.3,1.27,1.3,29140
sam,2.37,2.37,2.37,2.37,16540
sav,6.84,6.84,6.84,6.84,1290
sgh,2.33,2.33,2.33,2.33,1100
tms,9.25,9.25,9.25,9.25,10
ts4,2.96,2.98,2.96,2.99,810
vtc,8.44,8.44,8.44,8.44,10
