symbol,open,high,low,close,volume
^aex,393.22,393.86,390.36,391.38,90042000
^aord,4430.2,4430.2,4401.9,4410.2,632579600
^atx,3191.08,3191.78,3147.07,3154.65,3172400
^bfx,3281.42,3283.17,3252.83,3252.83,8917400
^bsesn,7902.84,7921.39,7791.91,7811.33,13200
^dji,10549.75,10592.9,10517.43,10554.93,213900000
^fchi,4436.62,4441.85,4406.02,4430.07,63927000
^ftse,5292.7,5304.7,5263.7,5269.3,1421739600
^gspc,1220.24,1222.64,1215.93,1219.02,1808170000
^hsi,15442.51,15455.17,15101.73,15148.09,516748400
^ixic,2139.4,2146.49,2133.08,2136.08,1391780000
^jkse,1114.27,1114.27,1090.18,1100.3,151557800
^klse,927.5,929.57,921.64,923.64,54777600
^ks11,1115.49,1115.82,1092.37,1092.71,439400
^n225,12322.8,12369.53,12292.82,12307.37,99800
^nya,7461.77,7461.77,7419.28,7433.24,1808170000
^nz50,3378.14,3379.86,3360.58,3366.53,47537500
^smsi,1090.18,1090.34,1083.62,1083.62,150870400
^ssmi,6629.3,6644.5,6591.8,6596.4,43925200
^sti,2299.43,2308.06,2275.66,2282.7,223610800
^twii,6252.32,6260.28,6204.42,6205.09,3140200
agf,9.06,9.09,9.06,9.09,1300
bbc,7.52,7.52,7.52,7.52,18820
bt6,5.97,5.97,5.97,5.97,600
btc,4.87,4.87,4.87,4.87,12080
can,7.27,7.32,7.27,7.32,1000
dha,5.95,5.95,5.94,5.94,6850
dpc,5.11,5.11,5.11,5.11,1370
gil,5.14,5.14,5.05,5.05,540
gmd,10.53,10.53,10.53,10.53,4360
hap,4.47,4.47,4.47,4.47,5170
has,6.0,6.0,6.0,6.0,350
kha,4.76,4.8,4.76,4.8,5110
laf,14.88,14.96,14.88,14.96,8790
mhc,7.0,7.04,7.0,7.03,39040
pms,4.81,4.81,4.81,4.81,2000
pnc,8.23,8.23,8.13,8.13,5700
ree,2.83,2.83,2.83,2.83,18590
sam,4.51,4.53,4.51,4.53,6470
sav,12.44,12.53,12.44,12.53,5140
sfc,2.52,2.52,2.49,2.49,8460
sgh,2.62,2.71,2.62,2.71,500
ssc,9.86,9.86,9.78,9.79,1500
tms,9.62,9.62,9.62,9.62,10
tna,3.64,3.64,3.6,3.61,5850
ts4,3.11,3.11,3.02,3.02,10
vtc,12.82,12.82,12.61,12.62,4570
