symbol,open,high,low,close,volume
aaa,16.5,16.8,15.5,16.2,366700.0
aam,13.6,13.9,13.6,13.6,8720.0
abi,8.0,8.0,8.0,8.0,5000.0
abt,48.0,48.0,45.6,45.6,3230.0
acb,15.2,15.5,15.2,15.4,81150.0
acc,29.0,31.0,29.0,31.0,20.0
ace,14.2,14.2,14.2,14.2,0.0
acl,9.1,9.5,9.1,9.5,390.0
adc,18.0,18.0,18.0,18.0,200.0
adp,19.6,19.6,19.6,19.6,0.0
agf,20.2,20.2,20.2,20.2,10.0
agm,13.0,13.0,12.8,12.8,5350.0
agr,5.9,6.4,5.7,5.7,1686120.0
alt,13.1,13.1,13.1,13.1,0.0
alv,4.9,5.0,4.6,5.0,6100.0
amc,21.8,21.8,21.8,21.8,0.0
ame,5.0,5.0,5.0,5.0,0.0
amv,4.6,4.6,4.2,4.2,3400.0
anv,9.0,9.4,8.8,9.3,28490.0
apc,13.6,13.6,13.6,13.6,0.0
apg,4.0,4.1,3.9,4.0,214200.0
api,13.0,13.2,11.9,13.2,60700.0
app,12.8,12.8,12.6,12.6,6900.0
aps,4.7,5.0,4.4,4.6,1719700.0
arm,17.1,17.1,17.1,17.1,200.0
asa,16.6,16.6,16.6,16.6,0.0
asm,7.4,8.0,7.2,7.2,1162820.0
asp,6.0,6.0,5.6,5.8,578820.0
ata,5.0,5.2,5.0,5.1,103890.0
avf,4.1,4.2,3.9,4.0,2157840.0
b82,12.0,12.0,12.0,12.0,4100.0
bbc,42.2,45.4,42.2,44.5,10930.0
bbs,15.0,15.0,13.5,13.5,1200.0
bcc,6.0,6.4,5.9,6.1,53500.0
bce,10.3,10.3,9.7,9.9,72870.0
bci,19.9,19.9,17.3,17.3,54240.0
bdb,6.0,6.0,6.0,6.0,0.0
bed,12.3,12.3,12.3,12.3,500.0
bgm,3.7,4.0,3.6,3.7,433090.0
bhc,1.2,1.2,1.2,1.2,8700.0
bhp,8.3,8.3,8.3,8.3,0.0
bhs,11.2,11.2,10.7,11.0,142060.0
bht,6.1,6.1,6.1,6.1,0.0
bhv,4.5,4.5,4.5,4.5,100.0
bic,10.4,10.4,9.9,10.2,66100.0
bid,14.8,14.8,13.9,14.2,636940.0
bkc,10.0,10.1,10.0,10.0,2100.0
blf,5.9,5.9,5.9,5.9,0.0
bmc,29.6,30.5,28.6,29.0,52250.0
bmi,14.1,14.4,13.5,14.0,303690.0
bmj,5.7,6.5,5.7,6.5,600.0
bmp,67.0,67.5,63.0,65.0,17390.0
bpc,9.9,10.4,9.8,9.8,6500.0
brc,10.2,10.9,10.2,10.8,2530.0
bsc,7.2,7.2,7.2,7.2,0.0
bsi,4.9,5.2,4.6,4.9,145180.0
bst,13.5,13.5,13.5,13.5,0.0
bt6,6.3,6.3,5.9,6.3,5180.0
btc,23.0,23.0,23.0,23.0,0.0
btg,13.0,13.0,13.0,13.0,0.0
btp,13.0,13.3,12.5,12.7,129940.0
bts,5.5,5.5,5.5,5.5,0.0
btt,33.8,38.8,33.8,38.8,630.0
btw,14.2,14.2,14.0,14.0,1300.0
bvg,2.9,2.9,2.8,2.9,2900.0
bvh,35.6,37.5,34.0,35.5,834940.0
bvn,9.0,9.5,8.7,9.5,1100.0
bvs,10.2,11.1,9.8,10.2,1935800.0
bwa,5.6,5.6,5.6,5.6,0.0
bxh,8.6,8.6,8.6,8.6,0.0
c21,19.9,19.9,17.9,17.9,1420.0
c32,29.7,29.8,28.0,29.6,97780.0
c47,20.0,20.8,18.5,19.8,1140.0
c92,9.5,9.5,9.5,9.5,300.0
cad,1.8,1.8,1.7,1.7,6800.0
can,32.0,32.0,32.0,32.0,0.0
cap,28.9,29.1,28.4,28.4,10600.0
cci,10.4,10.4,10.4,10.4,0.0
ccl,4.0,4.2,3.8,3.9,518930.0
ccm,12.0,12.0,12.0,12.0,200.0
cdc,5.5,5.7,5.4,5.4,136780.0
cec,10.0,10.0,10.0,10.0,0.0
cfc,8.0,8.0,8.0,8.0,200.0
chp,10.0,10.4,10.0,10.0,66600.0
ci5,13.0,13.0,13.0,13.0,0.0
cid,14.5,14.5,14.5,14.5,0.0
cig,3.1,3.3,3.1,3.2,26950.0
cii,17.3,18.0,17.0,17.4,2360310.0
cjc,22.5,23.0,22.5,23.0,400.0
ckv,9.5,9.5,9.1,9.1,5500.0
clc,26.1,26.7,26.0,26.7,40.0
clg,6.5,7.0,6.3,6.5,307350.0
clw,15.0,15.0,15.0,15.0,20.0
cmc,6.6,6.6,6.6,6.6,0.0
cmg,6.4,6.7,6.0,6.0,47360.0
cmi,14.0,14.2,12.8,13.0,163500.0
cms,10.2,10.3,9.9,10.1,24100.0
cmt,8.9,9.2,8.9,9.2,13090.0
cmv,12.4,13.0,12.4,13.0,3210.0
cmx,4.6,4.6,4.2,4.4,172320.0
cng,37.7,38.0,36.6,36.6,21810.0
com,32.0,32.0,32.0,32.0,100.0
cpc,22.0,22.0,22.0,22.0,0.0
csc,17.4,17.4,16.6,17.0,26800.0
csm,36.0,36.5,34.2,34.8,444410.0
ct3,2.8,2.8,2.8,2.8,0.0
ct6,9.6,9.6,9.6,9.6,0.0
cta,3.8,3.8,3.2,3.5,14400.0
ctb,24.0,24.0,24.0,24.0,1000.0
ctc,8.1,8.1,8.1,8.1,0.0
ctd,58.0,58.0,55.0,57.0,8640.0
ctg,15.3,15.7,15.2,15.2,580130.0
cti,12.8,13.0,12.8,13.0,30.0
ctn,8.8,8.8,8.8,8.8,0.0
cts,7.4,7.7,7.0,7.2,408000.0
ctx,8.1,8.1,8.1,8.1,0.0
cvn,2.6,2.7,2.5,2.6,15600.0
cvt,14.8,14.9,13.3,14.4,56300.0
cx8,4.7,4.8,4.7,4.8,20800.0
cyc,6.2,6.2,5.9,5.9,6010.0
czc,2.5,2.5,2.5,2.5,0.0
d11,12.8,12.8,12.8,12.8,46200.0
d26,4.2,4.2,4.2,4.2,0.0
d2d,22.5,22.5,22.5,22.5,11290.0
dac,9.0,9.0,9.0,9.0,0.0
dad,15.0,15.0,14.0,14.8,700.0
dae,16.7,16.7,16.5,16.5,2750.0
dag,11.8,11.8,11.1,11.1,1800.0
dap,41.5,41.5,41.5,41.5,0.0
dbc,19.6,19.6,18.0,18.8,248933.0
dbm,48.6,48.6,48.6,48.6,0.0
dbt,28.0,28.0,28.0,28.0,0.0
dc2,3.8,3.8,3.8,3.8,2100.0
dc4,8.0,8.0,7.5,7.5,16100.0
dcl,27.0,27.8,25.8,27.6,118550.0
dcs,4.6,4.8,4.2,4.2,1179000.0
dct,2.4,2.4,2.2,2.3,106560.0
ddn,24.3,24.3,24.3,24.3,0.0
dgt,8.7,8.7,8.7,8.7,0.0
dha,8.8,9.7,8.8,9.4,19420.0
dhc,13.2,13.2,12.3,13.0,18020.0
dhg,117.0,121.0,116.0,117.0,11110.0
dhm,5.8,6.2,5.5,5.7,717000.0
dhp,7.3,7.3,7.3,7.3,20400.0
dht,24.9,26.0,24.0,25.0,7900.0
dic,6.6,7.0,6.6,6.6,402380.0
did,4.8,4.8,4.8,4.8,8000.0
dig,13.5,14.0,12.5,13.5,559500.0
dih,9.5,9.5,9.4,9.4,12800.0
dl1,9.0,9.1,8.7,9.1,36500.0
dld,10.0,10.0,10.0,10.0,0.0
dlg,6.7,6.9,6.1,6.3,3018160.0
dlr,9.4,9.4,9.4,9.4,100.0
dmc,37.0,38.8,34.5,36.5,31100.0
dnc,11.0,11.0,11.0,11.0,0.0
dnl,6.2,6.2,6.2,6.2,400.0
dnm,39.0,39.0,39.0,39.0,0.0
dnp,14.4,17.6,14.4,17.6,4100.0
