symbol,open,high,low,close,volume
agf,31.0,31.0,31.0,31.0,2000.0
bbc,15.9,15.9,15.9,15.9,14170.0
bpc,15.6,15.6,15.6,15.6,170.0
bt6,30.0,30.0,30.0,30.0,0.0
btc,9.2,9.2,9.1,9.1,56490.0
can,14.6,14.6,14.6,14.6,2030.0
dha,36.7,36.9,36.7,36.9,8010.0
dpc,10.2,10.2,10.2,10.2,7300.0
gil,30.0,30.2,30.0,30.2,1430.0
gmd,50.0,50.0,49.5,49.5,1770.0
hap,22.6,22.7,22.6,22.7,3800.0
has,26.7,26.7,26.7,26.7,240.0
kha,24.6,24.6,24.6,24.6,50530.0
laf,33.4,33.4,33.4,33.4,9800.0
mhc,20.4,20.5,20.4,20.5,37700.0
pms,14.3,14.3,14.1,14.1,80.0
pnc,16.6,16.6,16.6,16.6,1350.0
ree,25.7,25.9,25.7,25.9,35310.0
sam,37.9,37.9,37.9,37.9,0.0
sav,28.4,28.6,28.4,28.6,14100.0
sfc,25.1,25.1,25.1,25.1,1680.0
sgh,14.5,14.5,14.5,14.5,0.0
ssc,37.1,38.6,37.1,38.6,500.0
tms,30.3,30.3,30.2,30.2,2070.0
tna,20.8,21.0,20.8,21.0,1240.0
ts4,18.4,18.4,18.0,18.0,1100.0
vtc,31.3,31.3,31.3,31.3,2900.0
