symbol,open,high,low,close,volume
agf,7.45,7.45,7.45,7.45,5400
bbc,5.74,5.74,5.74,5.73,7900
bpc,5.17,5.17,5.17,5.17,1000
can,7.92,7.92,7.92,7.92,1000
dpc,6.26,6.26,6.26,6.26,1500
gil,4.05,4.05,4.05,4.05,12900
gmd,6.43,6.43,6.43,6.43,14400
hap,5.41,5.41,5.41,5.41,1200
has,4.01,4.01,4.01,4.01,3000
kha,4.11,4.11,4.11,4.11,300
laf,8.33,8.33,8.33,8.33,1100
ree,1.36,1.36,1.36,1.36,92000
sam,2.26,2.26,2.26,2.26,3600
sav,6.97,6.97,6.97,6.97,27400
sgh,2.26,2.26,2.26,2.26,3000
tms,8.75,8.75,8.75,8.75,2200
ts4,2.84,2.84,2.84,2.85,200
